symbol,firing,evaluated_at,bracket_last_price,bracket_pct_change,entry_quote_price,fill_price,quantity,limit_sell_price,spread_pct,atr14_pct,atr3_pct,a3_peak_to_baseline_ratio,a3_volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,industry
LASE,9:30,2026-09-08T13:38:00Z,1.0524,-0.24828571428571425,1.0574,1.0577,4,1.12,0.0094,0.1108,0.0907,1.1777,n/a(<1.35),25,CC0,,5.547,-0.0047,Electronic Equipment/Instruments
CYCN,9:30,2026-09-08T13:38:00Z,3.35,-0.2117647058823529,3.36,3.49,1,3.67,0.0000,0.1305,0.2039,1.3040,n/a(<1.35),35,CC0,,2.524,-0.0774,Pharmaceuticals: Major
OPTT,9:30,2026-09-08T13:38:00Z,0.1623,-0.1339381003201708,0.1611,0.1631,31,0.172,0.0664,0.0990,0.1076,1.0959,n/a(<1.35),47,CB0,,4.470,0.02814,Electrical Products
BANL,9:30,2026-09-08T13:38:00Z,7.83,-0.13096559378468364,7.83,7.1481,1,7.51,0.0000,0.2417,0.4544,1.4121,2.068,n/a(no earnings data),CC0,,2.094,-0.00511,Air Freight/Couriers
TV,9:30,2026-09-08T13:38:00Z,2.365,-0.10076045627376413,2.365,2.3287,2,2.45,0.0042,0.0380,0.0308,1.0384,n/a(<1.35),47,CA0,,1.476,0.02155,Major Telecommunications
