symbol,name,entry_price,pct_change,quantity,avg_fill_price,limit_sell_price,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,industry,ask_gap_pct,firing,evaluated_at
QCLS,Q/C Technologies,0.8765,-0.13088235294117653,5,0.8878,0.933,0.0236,0.342,0.313,1.1613,n/a_below_1.35_threshold,44,CC0,,9.32,Pharmaceuticals: Major,0.00576,10:30,2026-09-25T14:45:00Z
NTRB,Nutriband,8.07,-0.11180200222469416,1,8.1199,8.53,0.01983,0.0926,0.1503,1.6564,3.931,21,CC0,,1.138,Medical Specialties,0.01875,10:30,2026-09-25T14:45:00Z
