symbol,old_target,new_target,peak_price,decay_pct,reason
CETY,1.05,1.08,n/a,0.05,stale_afternoon_target_from_prior_day_refreshed_to_todays_5pct_decay
POM,1.14,1.17,n/a,0.05,stale_afternoon_target_from_prior_day_refreshed_to_todays_5pct_decay
QMLS,12.24,12.61,n/a,0.05,stale_afternoon_target_from_prior_day_refreshed_to_todays_5pct_decay
TSLA,332.18,341.95,n/a,0.05,stale_afternoon_target_from_prior_day_refreshed_to_todays_5pct_decay
VIVS,0.657,0.657,n/a,0.05,no_change_trailing_target_from_prior_peak_already_exceeds_todays_decay_target(0.578)
VCIG,1.22,1.22,n/a,0.05,no_change_trailing_target_from_prior_peak_already_exceeds_todays_decay_target(1.16)
EXYN,3.19,3.19,n/a,0.05,no_change_trailing_target_from_prior_peak_already_exceeds_todays_decay_target(3.12)
STFS,11.71,11.71,n/a,0.05,no_change_matches_decay_target
JAGX,1.11,1.11,n/a,0.05,no_change_matches_decay_target
CSAI,0.389,0.389,n/a,0.05,no_change_matches_decay_target
FRGT,3.41,3.41,n/a,0.05,no_change_matches_decay_target
GVH,2.27,2.27,n/a,0.05,no_change_matches_decay_target
AMPG,6.05,6.05,n/a,0.05,no_change_matches_decay_target
CDXS,1.59,1.59,n/a,0.05,no_change_matches_decay_target
ATER,0.504,0.504,n/a,0.05,no_change_matches_decay_target
CBRG,4.79,4.79,n/a,0.05,no_change_matches_decay_target
IRAB,10.48,10.48,n/a,0.05,no_change_matches_decay_target
CRWU,3.54,3.54,n/a,0.05,no_change_matches_decay_target
SKHL,10.10,10.10,n/a,0.05,no_change_matches_decay_target
AEHG,8.92,8.92,n/a,0.05,no_change_matches_decay_target
AXTU,3.24,3.24,n/a,0.05,no_change_matches_decay_target
AXTX,6.07,6.07,n/a,0.05,no_change_matches_decay_target
TOPP,0.641,0.641,n/a,0.05,no_change_matches_decay_target
AAOG,3.21,3.21,n/a,0.05,no_change_matches_decay_target
COHH,7.84,7.84,n/a,0.05,no_change_matches_decay_target
KSCP,1.65,1.65,n/a,0.05,no_change_matches_decay_target
ODYS,5.10,5.10,n/a,0.05,no_change_matches_decay_target
BAOS,1.73,1.73,n/a,0.05,no_change_matches_decay_target
XHG,1.10,1.10,n/a,0.05,no_change_matches_decay_target
GLXU,6.90,6.90,n/a,0.05,no_change_matches_decay_target
IREG,9.05,9.05,n/a,0.05,no_change_matches_decay_target
TAOX,3.61,3.61,n/a,0.05,no_change_matches_decay_target
MODD,3.10,3.10,n/a,0.05,no_change_matches_decay_target
SNDC,9.43,9.43,n/a,0.05,no_change_matches_decay_target
SPCH,6.92,6.92,n/a,0.05,no_change_matches_decay_target
POEL,9.63,9.63,n/a,0.05,no_change_matches_decay_target
KEEL,4.76,4.76,n/a,0.05,no_change_matches_decay_target
HYLN,4.05,4.05,n/a,0.05,no_change_matches_decay_target
SPAX,6.97,6.97,n/a,0.05,no_change_matches_decay_target
SPCU,9.21,9.21,n/a,0.05,no_change_matches_decay_target
PLU,9.17,9.17,n/a,0.05,no_change_matches_decay_target
MPG,3.55,3.55,n/a,0.05,no_change_matches_decay_target
RGTZ,4.77,4.77,4.61,0.05,new_position_phaseB_initial_target
SKYQ,4.10,4.10,3.97,0.05,new_position_phaseB_initial_target
BCAR,9.55,9.55,9.10,0.05,new_position_phaseB_initial_target
REPL,9.13,9.13,8.7305,0.05,new_position_phaseB_initial_target
TPET,0.29,0.29,0.2672,0.05,new_position_phaseB_initial_target
ASTN,7.19,7.19,6.87,0.05,new_position_phaseB_initial_target
