symbol,side,quantity,fill_price,order_id,sell_order_id,limit_sell_price,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,last_price,pct_change,per_position_cap,timestamp
MODD,buy,3,2.9499,6a636d2f-3757-4dbf-93df-6d834c994b6d,6a636e73-2f8f-4b8e-bf9e-a0b56b567d71,3.1,0.0482,0.196,0.1357,1.4035,1.69,N/A,CC0,2.8673,-0.0568,10,2026-07-24T13:47:00Z
SNDC,buy,1,8.9774,6a636d30-f852-44e8-83e5-45b7eeed5b7a,6a636e75-3d81-4d49-88cd-3363c76f20b8,9.43,0.0098,0.2163,0.2032,1.058,,N/A,CB0,9.48,-0.0567,10,2026-07-24T13:47:00Z
COIA,buy,1,7.1949,6a636d49-d27b-40de-b100-dc18db1a0ef3,6a636e7b-25b5-4a38-ae23-471451945682,7.56,0.0042,0.127,0.1316,1.245,,N/A,CB0,7.17,-0.0553,10,2026-07-24T13:47:00Z
SPCH,buy,1,6.5899,6a636d49-f622-4373-ae33-cd1acf8a700a,6a636e7c-148e-40aa-942f-1e239696bc00,6.92,0.0015,0.2193,0.1546,1.352,,N/A,CB0,6.66,-0.0553,10,2026-07-24T13:47:00Z
ONDL,buy,1,7.0448,6a636d55-70ff-41a5-ac05-dbcb3e6c4567,6a636e82-2424-4d54-ab67-1baf40156540,7.4,0.0043,0.2083,0.1698,1.274,,N/A,CB0,7.11,-0.0551,10,2026-07-24T13:47:00Z
OSSL,buy,1,8.6799,6a636d56-6709-492e-9e92-3bed8243525d,6a636e83-5f3b-490a-a833-f912d153cd14,9.12,0.0239,0.1799,0.109,1.214,,N/A,CB0,9.1,-0.0551,10,2026-07-24T13:47:00Z
POEL,buy,1,9.1699,6a636d5e-e15f-45c8-ac42-482fc84e7256,6a636e8a-511e-4c28-b556-86de072f430f,9.63,0.0105,0.4388,0.1864,1.297,,N/A,CB0,9.56,-0.0544,10,2026-07-24T13:47:00Z
KEEL,buy,2,4.53,6a636d60-542e-46e4-b4de-32632aa1a21d,6a636e8b-0b54-4dce-9d44-29f3396ebb9c,4.76,0.0022,0.1145,0.0866,1.141,,N/A,CC0,4.55,-0.0541,10,2026-07-24T13:47:00Z
HYLN,buy,2,3.8492,6a636dcf-8249-4393-a481-e85c8cc59e9b,6a636e92-9c27-47f4-ab65-c19b08334a07,4.05,0.0129,0.144,0.1124,1.344,,N/A,CB0,3.9,-0.0534,10,2026-07-24T13:47:00Z
SPAX,buy,1,6.63,6a636dd0-dc19-4cba-8a9a-c1f5527ed3c4,6a636e93-1171-4d93-96ba-7f9440d1f4f6,6.97,0.003,0.2153,0.1541,1.347,,N/A,CB0,6.74,-0.0534,10,2026-07-24T13:47:00Z
SPCU,buy,1,8.7651,6a636dd9-41d1-4a33-809b-0067f9c12340,6a636e9b-7ac7-47a3-ad07-9646dddbc83b,9.21,0.0057,0.218,0.1554,1.3485,,N/A,CB0,8.89,-0.0522,10,2026-07-24T13:47:00Z
ALOY,buy,1,7.0599,6a636dda-445e-422b-87c6-e5955d9f3819,6a636e9c-aed4-4dd2-8a1d-28a5bba02ff6,7.42,0.007,0.2007,0.13,1.1122,,N/A,CC0,7.08,-0.0522,10,2026-07-24T13:47:00Z
ONDG,buy,3,2.6499,6a636de0-0982-4613-b349-b9854af161b7,6a636ea3-96a2-4b48-a432-ee2edd7f232e,2.79,0.0037,0.2008,0.1669,1.2647,,N/A,CC0,2.75,-0.0517,10,2026-07-24T13:47:00Z
PLU,buy,1,8.7267,6a636de1-30a5-471d-85fb-446b8c0f7ec3,6a636ea4-2ab1-4714-bf0c-f074e31dd98a,9.17,0.0098,0.336,0.1417,1.453,1.71,N/A,CB0,9.2,-0.0515,10,2026-07-24T13:47:00Z
CONL,buy,2,4.6893,6a636de9-8dfe-4dc5-9d72-df34feb0e37c,6a636eaa-4de8-453a-a62d-671d21da841b,4.93,0.0021,0.1345,0.1365,1.2535,,N/A,CC0,4.725,-0.0512,10,2026-07-24T13:47:00Z
MPG,buy,2,3.3848,6a636de9-1451-47d6-ae96-c8e5d271fdd5,6a636eac-563d-4357-8daf-cba124ed1cf9,3.56,0.0113,0.1563,0.1017,1.148,,N/A,CC0,3.53,-0.0511,10,2026-07-24T13:47:00Z
RDWU,buy,1,4.86,6a636df0-6488-44a8-873c-2b249eaa6159,6a636eb2-eec5-409a-a9b0-2198a7696489,5.11,0.0039,0.3876,0.1563,1.326,,N/A,CB0,5.11,-0.0502,10,2026-07-24T13:47:00Z
