symbol,old_target,new_target,peak_price,decay_pct,avg_buy_price,trailing_valid,reason
ARI,7.17,7.37,7.06,0.05,7.02,false,decay_target_higher_new_day_reset
SOBR,1.23,1.34,1.37,0.05,1.20,true,trailing_target_higher
VIVS,0.657,0.665,0.6785,0.05,0.55,true,trailing_target_higher_corrected_after_broker_price_mismatch
VCIG,1.22,1.22,1.24,0.05,1.10,true,unchanged_trailing_already_current
PLAG,1.00,1.03,1.01,0.05,0.98,true,decay_target_higher
STFS,11.38,11.71,10.38,0.05,11.15,false,decay_target_higher_new_day_reset
CSAI,0.383,0.389,0.39,0.05,0.37,true,decay_target_higher
CETY,1.05,1.07,1.0199,0.05,1.02,false,decay_target_higher_new_day_reset
POM,1.14,1.17,1.13,0.05,1.11,false,decay_target_higher_new_day_reset
GVH,2.21,2.27,2.2099,0.05,2.16,true,decay_target_higher
QMLS,12.24,12.60,11.9999,0.05,12.00,false,decay_target_higher_new_day_reset
CISS,1.39,1.39,1.32,0.05,1.32,false,new_position_decay_target_unchanged_this_run
