symbol,old_target,new_target,peak_price,decay_pct,reason
AAOG,3.21,3.21,3.100000,0.05,no change needed
AEHG,8.92,8.92,8.680900,0.05,no change needed
ALOY,7.42,7.42,7.089900,0.05,no change needed
AMPG,6.05,6.05,5.830000,0.05,no change needed
ATER,0.504,0.504,0.482500,0.05,no change needed
AXTU,3.24,3.24,3.110000,0.05,no change needed
AXTX,6.07,6.07,5.855000,0.05,no change needed
BAOS,1.73,1.73,1.610000,0.05,no change needed
CBRG,4.79,4.79,4.679900,0.05,no change needed
CDXS,1.59,1.59,1.570000,0.05,no change needed
CETY,1.08,1.08,1.0199,0.05,no change needed
COHH,7.84,7.84,7.543700,0.05,no change needed
COIA,7.56,7.55,7.270000,0.05,decay only (trailing invalid/below cost basis)
CONL,4.93,4.93,4.807100,0.05,no change needed
CRWU,3.54,3.54,3.390000,0.05,no change needed
CSAI,0.389,0.389,0.39,0.05,no change needed
EHGO,2.31,2.31,2.190000,0.05,no change needed
EXYN,3.19,3.19,3.250000,0.05,no change needed
FRGT,3.41,3.41,3.205000,0.05,no change needed
GLXU,6.9,6.9,6.379700,0.05,no change needed
GVH,2.27,2.27,2.2099,0.05,no change needed
HYLN,4.05,4.05,3.890000,0.05,no change needed
IRAB,10.48,10.48,,0.05,no change needed
IREG,9.04,9.05,8.870000,0.05,decay only
JAGX,1.11,1.11,1.080000,0.05,no change needed
KEEL,4.76,4.76,4.589900,0.05,no change needed
KSCP,1.65,1.65,1.597400,0.05,no change needed
MODD,3.1,3.1,2.925000,0.05,no change needed
MPG,3.56,3.55,3.380000,0.05,decay only (trailing invalid/below cost basis)
ODYS,5.1,5.1,4.800000,0.05,no change needed
OSSL,9.12,9.12,,0.05,no change needed
PLU,9.17,9.17,8.641000,0.05,no change needed
POEL,9.63,9.63,9.285000,0.05,no change needed
POM,1.17,1.17,1.13,0.05,no change needed
QMLS,12.6,12.6,11.9999,0.05,no change needed
RDWU,5.11,5.11,5.020000,0.05,no change needed
SKHL,10.1,10.1,9.730000,0.05,no change needed
SNDC,9.43,9.43,9.108200,0.05,no change needed
SPAX,6.97,6.97,6.715000,0.05,no change needed
SPCH,6.92,6.92,6.660000,0.05,no change needed
SPCU,9.21,9.21,8.870000,0.05,no change needed
STFS,11.71,11.71,10.38,0.05,no change needed
TAOX,3.61,3.61,3.500000,0.05,no change needed
TOPP,0.641,0.641,0.610000,0.05,no change needed
TSLA,341.95,341.95,326.340000,0.05,no change needed
VCIG,1.22,1.22,1.24,0.05,no change needed
VIVS,0.657,0.665,0.6785,0.05,trailing exceeded decay
XHG,1.1,1.1,0.981200,0.05,no change needed
