symbol,old_target,new_target,peak_price,avg_buy_price,decay_pct,reason
PLTD,6.78,6.58,6.47,6.45,0.02,decay_step_after_3:30pm_ET
CRIS,3.25,3.16,3.119,3.09,0.02,decay_step_after_3:30pm_ET
RECT,1.30,1.27,1.2899,1.23,0.02,trailing_target_after_3:30pm_ET
