symbol,name,last_price,pct_change,market_cap,volume
HWO,Hotchkis & Wiley Funds Hotchkis & Wiley Opportunities Fund,27.19,-0.9969172470515038,,0
HXC,Mast HedgeIndex Strategic Commodities ETF,25.01,-0.9958670218152502,,8
APH,Amphenol,79.686,-0.5022113943028486,1.97375991796e+11,1.451727702607e+06
GIXI,Gix Internet,6.3,-0.47500000000000003,1.777777e+07,273685.042961
ADBT,Advasa Holdings,0.91,-0.4709302325581395,8.37753007e+08,2.397732793224e+06
RARE,Ultragenyx Pharmaceutical,14.695,-0.4460987561251414,2.617534578e+09,1.145423466984e+07
MDCX,Medicus Pharma Ltd.,0.1747,-0.32781839168911125,1.642064e+07,7.7026440591782e+07
NCPL,Netcapital,0.7132,-0.30757281553398064,8.004856e+06,2.249736382854e+06
DBGI,Digital Brands Group,3.14,-0.2975391498881431,2.534157e+06,2.696716926768e+06
PSNY,Polestar Automotive,8.59,-0.28356964136780655,8.14360125e+08,487779.263638
CRCD,T-REX 2X Inverse CRCL Daily Target ETF,1.82,-0.26016260162601623,,4.753574102092e+06
RACC,Research Alliance Corp III,15.01,-0.24000000000000002,1.79695947e+08,202543.644593
SDST,Stardust Power Inc.,0.1928,-0.23643564356435645,3.667293e+06,1.1937335645021e+07
CIEG,Leverage Shares 2X Long CIEN Daily ETF,3.3489,-0.2336613272311213,,1.850974604462e+06
CIEX,Tradr 2X Long CIEN Daily ETF,8.83,-0.23284100781928754,,153270.532759
SGLD,Scorpio Gold,5.57,-0.22959889349930845,1.22070731e+08,1.395141706917e+06
NWGL,CL Workshop Group Limited,0.9951,-0.21645669291338585,2.1890427e+07,244754.457819
BMNZ,Defiance Daily Target 2X Short BMNR ETF,5.35,-0.21554252199413498,,2.52269373633e+06
FAMI,Farmmi,0.1182,-0.2125249833444371,5.619435e+06,2.3940297328638e+07
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,4.41,-0.20683453237410063,,1.8102075400825e+07
WETO,Wetour Robotics,3.12,-0.20610687022900764,4.203423e+06,2.757143524707e+06
APVO,Aptevo,2.0777,-0.20088461538461538,4.688456e+06,780891.136282
MF,MindForge Inc. Class A,11.12,-0.18772826880934992,2.4125283e+07,52643.896031
CONI,GraniteShares ETF Trust GraniteShares 2x Short COIN Daily ETF,27.17,-0.16936716600428,,241786.074624
VIOT,Viomi,1.49,-0.16292134831460675,1.1745438e+08,2.909690777145e+06
BRTX,BioRestorative Therapies,0.1695,-0.15964303420922152,5.330033e+06,1.235316866e+06
BRZX,Corgi Brazil 2x Daily ETF,23.3349,-0.1576061254769735,,0
RNXT,RenovoRx,2.13,-0.15476190476190482,1.13275065e+08,1.866335818438e+06
HPEL,Leverage Shares 2X Long HPE Daily ETF,13.36,-0.150667514303878,,779817.419261
ANVS,Annovis Bio,1.445,-0.14999999999999994,7.2430458e+07,1.513424750425e+06
GYGY,Game Your Game,1.49,-0.13872832369942195,2.504208e+07,6.237006230603e+06
AVL,Direxion Daily AVGO Bull 2X ETF,34.441,-0.1368170426065162,,2.551742914e+06
AVGG,Themes ETF Trust Leverage Shares 2X Long AVGO Daily ETF,21.15,-0.13673469387755108,,814738.756487
VACI,Viking Acquisition Corp. I,8.5,-0.13617886178861788,3.08254403e+08,22416.07186
AVGX,Defiance Daily Target 2X Long AVGO ETF,36.28,-0.13598475827577997,,1.592827082479e+06
SSM,Sono Group N.V.,4.15,-0.13541666666666657,7.031203e+06,115087.066894
AVGU,GraniteShares 2x Long AVGO Daily ETF,27.07,-0.13209361974991987,,377548.88214
LOFD,Direxion Daily SpaceX Bear 2X ETF,6.635,-0.12915080719254496,,31656.467926
AVGC,Corgi AVGO 2x Daily ETF,20.1,-0.12854219416600188,,7389.5252
VSXY,Victorias Secret & Co.,74,-0.12746138427072282,6.741692773e+09,3.154440273746e+06
CDT,CDT Equity,0.795,-0.12646961872321721,1.2462787e+07,192215.476824
XRTX,XORTX Therapeutics,2.1718,-0.12427419354838702,4.505081e+06,706
METC,Ramaco,12.65,-0.12213740458015265,8.33294197e+08,875282.988315
CABO,Cable One,25.04,-0.1217116801122414,1.61763601e+08,44571.881776
SCNI,Scinai Immunotherapeutics Ltd. ADR,2.08,-0.11111111111111102,1.585538e+06,127533.365853
EFFE,Harbor Osmosis Emerging Markets Resource Efficient ETF,25.54,-0.11041448972483461,,0
ETD,Ethan Allen,22.0424,-0.10795629299878592,6.28779036e+08,173987.96362
AEHG,Leverage Shares 2X Long AEHR Daily ETF,5.55,-0.106280193236715,,572626.410959
AXTC,Corgi AXTI 2x Daily ETF,11.03,-0.10318641201388719,,1472.7489
JBDI,JBDI Holdings,1.22,-0.10294117647058831,1.2939763e+07,17884
GOLD,Gold.com,39.34,-0.10223642172523954,1.270971668e+09,685524.682663
SVRN,SVRN,9.43,-0.10019083969465656,1.9527244e+07,121546.328505
VNRX,VolitionRx,0.3396,-0.0977683315621679,7.114377e+06,1.031474554942e+06
