symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
MYSZ,1.7872,-0.2349,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-16T14:36:00Z-14:41:00Z,10:30
VWAV,0.4108,-0.2278,a6_reverse_split_proxy,split_ratio_proxy=38.4615,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
NIXX,0.3399,-0.2228,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-16T14:36:00Z-14:41:00Z,10:30
CTNT,0.0518,-0.1618,a6_reverse_split_proxy,split_ratio_proxy=8185.33,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
CODX,0.97,-0.1405,a6_reverse_split_proxy,split_ratio_proxy=47.9381,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
SUGP,0.5758,-0.1310,a6_reverse_split_proxy,split_ratio_proxy=95.5194,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
LITZ,7.33,-0.1301,a8_leveraged_inverse_etf_guardrail,industry=Investment Trusts Or Mutual Funds;description_marker=inverse (-2x),a8,2026-09-16T14:36:00Z-14:41:00Z,10:30
FCHL,0.9606,-0.1267,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
BDRX,1.16,-0.1241,a6_reverse_split_proxy,split_ratio_proxy=51.2069,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
ILLR,0.5198,-0.1239,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
SWVL,4.44,-0.1226,a3_prior_spike_guardrail,peak_to_baseline_ratio=3.9766;volume_spike_ratio=2.9498,,2026-09-16T14:36:00Z-14:41:00Z,10:30
BYAH,2.2691,-0.1204,a6_reverse_split_proxy,split_ratio_proxy=96.0725,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
BLSG,2.9999,-0.1185,a8_leveraged_inverse_etf_guardrail,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure,a8,2026-09-16T14:36:00Z-14:41:00Z,10:30
SMTK,2.16,-0.1148,a6_reverse_split_proxy,split_ratio_proxy=87.963,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
NIVF,0.7452,-0.1129,a6_reverse_split_proxy,split_ratio_proxy=2065.0,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
ZBAO,0.0941,-0.1076,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-16T14:36:00Z-14:41:00Z,10:30
LOFD,6.39,-0.1063,a8_leveraged_inverse_etf_guardrail,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse daily exposure,a8,2026-09-16T14:36:00Z-14:41:00Z,10:30
GTBP,8.05,-0.1056,a3_prior_spike_guardrail,peak_to_baseline_ratio=1.5583;volume_spike_ratio=31.5333,,2026-09-16T14:36:00Z-14:41:00Z,10:30
ADBT,0.1136,-0.1042,a6_reverse_split_proxy,split_ratio_proxy=116.1972,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
SSPC,8.9598,-0.1005,a8_leveraged_inverse_etf_guardrail,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse exposure to the daily price movement of,a8,2026-09-16T14:36:00Z-14:41:00Z,10:30
HLSQ,0.87,-0.1004,a3_prior_spike_guardrail,peak_to_baseline_ratio=1.3872;volume_spike_ratio=47.2209,,2026-09-16T14:36:00Z-14:41:00Z,10:30
OPENW,0.126,-0.1000,a6_reverse_split_proxy,split_ratio_proxy=25.0,a6,2026-09-16T14:36:00Z-14:41:00Z,10:30
