symbol,quantity,avg_fill_price,total_cost,limit_sell_price_initial,buy_order_id,sell_order_id,atr_14_pct,atr_3_pct
PLAG,111,0.9798,108.7578,1.03,6a593364-f57a-4406-91ae-2cc2648a0890,6a59336f-28a0-4076-81b4-89e7c660e624,0.1967,0.1548
STFS,10,11.1499,111.499,11.71,6a593381-7b46-426c-bcb9-baee0d432a0d,6a59338c-8747-4829-8bcd-e3a6ed4f3923,0.2673,0.3921
JAGX,79,1.3199,104.2721,1.39,6a59339d-f4e9-4677-8b22-98500826dbcc,6a5933a6-5fe5-4201-a6bd-a8ef734bf747,0.1977,0.1368
DFNS,532,0.0482,25.6424,0.06,6a5933ba-7d48-43fa-bd7e-7b80dc9b012a,6a5933c3-2c5e-445c-ba91-ce15de1fe3bd,0.6581,0.5397
