symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.38,7.38,7.06,0.05,no change - decay target unchanged
SOBR,1.26,1.26,1.215,0.05,no change - decay target unchanged
ALP,0.263,0.263,0.2578,0.05,no change - decay target unchanged
VIVS,0.704,0.704,0.67,0.05,no change - decay target unchanged
ZBAO,0.263,0.263,0.2577,0.05,no change - decay target unchanged
VCIG,1.22,1.22,1.24,0.05,no change - trailing target unchanged
PLAG,1.03,1.03,1.01,0.05,no change - decay target unchanged
STFS,11.71,11.71,10.38,0.05,no change - decay target unchanged
CYCU,0.41,0.41,0.407,0.05,no change - decay target unchanged
CSAI,0.389,0.389,0.39,0.05,no change - decay target unchanged
CETY,1.08,1.08,0.9898,0.05,no change - decay target unchanged
POM,1.17,1.17,1.13,0.05,no change - decay target unchanged
FRGT,4.02,4.02,3.93,0.05,no change - decay target unchanged
DFNS,,,,0.05,"skipped - resting sell fully filled (4 shares @6.39), remaining 0.256 fractional shares cannot use a limit order (broker rejects fractional-qty limit orders); left unmanaged pending manual review"
GVH,2.27,2.27,2.09,0.05,no change - decay target unchanged
MSS,0.483,0.484,0.4796,0.05,"decay target increased, replaced resting order"
BIVI,1.51,1.51,1.49,0.05,no change - decay target unchanged
GLXG,0.966,0.967,0.9641,0.05,"decay target increased, replaced resting order"
QMLS,12.6,12.61,11.9999,0.05,"decay target increased, replaced resting order"
TEMT,17.8,17.8,17.5597,0.05,no change - trailing target unchanged
