symbol,side,quantity,avg_fill_price,limit_sell_price,order_id_buy,order_id_sell,last_price_at_scan,pct_change_at_scan,spread_pct,atr14_pct,atr3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,split_ratio_proxy,ask_gap_pct,last_real_price
TJGC,buy,1,3.7968,3.99,6a748f68-6b1e-47d8-8ff8-c40253c807c7,6a748f7c-7ec4-4017-a2c2-5905d202717f,3.68,-0.14077669902912623,0.071,0.113,0.189,1.219,977.5,no_earnings_data,CC0,2.1,0.0217,3.68
BJDX,buy,4,1.0996,1.16,6a748f6f-22b1-47b9-a1a6-b560202e69d9,6a748f7f-8001-403b-85d7-a47eacad7bb0,1.1101,-0.10475806451612896,0.018,0.155,0.286,1.327,80.8,91,CC0,15.0,0.00045,1.1195
