symbol,firing,evaluated_at,bracket_last_price,bracket_pct_change,entry_quote_price,fill_price,quantity,limit_sell_price,spread_pct,atr14_pct,atr3_pct,a3_peak_to_baseline_ratio,a3_volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,industry
XFOR,10:30,2026-09-08T14:37:00Z,3.52,-0.11633663366336638,3.52,3.5287,1,3.71,0.00852,0.05572,0.03275,1.0346,n/a(<1.35),33,CC0,,1.372,0.0057,Biotechnology
CD,10:30,2026-09-08T14:37:00Z,3.6,-0.11547911547911552,3.60,3.595,1,3.78,0.00278,0.12097,0.12688,1.1051,n/a(<1.35),n/a(no earnings data),CC0,,10.214,0.00000,Information Technology Services
NABL,10:30,2026-09-08T14:37:00Z,3.595,-0.11453201970443336,3.625,3.6299,1,3.82,0.00276,0.08198,0.06148,1.3311,n/a(<1.35),29,CA0,,2.409,0.00138,Packaged Software
AXG,10:30,2026-09-08T14:37:00Z,2,-0.10714285714285723,2.00,2.0087,2,2.11,0.00500,0.05330,0.05952,1.0653,n/a(<1.35),n/a(no earnings data),CC0,,2.375,0.00500,Investment Banks/Brokers
MODD,10:30,2026-09-08T14:37:00Z,3.31,-0.1005434782608696,3.2801,3.3057,1,3.48,0.00915,0.13894,0.13003,1.5361,2.1505,25,CC0,,9.146,0.00912,Medical Specialties
