timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-11T14:42:00Z,WYHG,5.30,5.30,5.23,4.44,0.05,no_change_needed;dd=-0.0278;sessions_held=2
2026-09-11T14:42:00Z,BANL,7.51,7.51,7.34,5.88,0.05,no_change_needed;dd=-0.1746;sessions_held=3
2026-09-11T14:42:00Z,OCGN,1.18,1.18,1.15,1.01,0.05,no_change_needed;dd=-0.0566;sessions_held=2
2026-09-11T14:42:00Z,FJET,2.33,2.33,2.23,1.92,0.05,no_change_needed;dd=-0.0855;sessions_held=2
2026-09-11T14:42:00Z,BBOT,6.03,6.03,5.79,5.19,0.05,no_change_needed;dd=-0.0888;sessions_held=1
2026-09-11T14:42:00Z,CVV,5.19,5.19,4.9499,4.56,0.05,no_change_needed;dd=-0.0405;sessions_held=0
2026-09-11T14:42:00Z,SGLY,1.86,1.86,1.82,1.711,0.05,no_change_needed;dd=-0.0133;sessions_held=0
2026-09-11T14:42:00Z,KPTI,1.38,1.38,1.31,1.31,0.05,new_position_target_already_set;dd=-0.0031;sessions_held=0
2026-09-11T14:42:00Z,SMR,9.54,9.54,9.10,9.08,0.05,new_position_target_already_set;dd=-0.0016;sessions_held=0
2026-09-11T14:42:00Z,TLS,4.38,4.38,4.20,4.17,0.05,new_position_target_already_set;dd=-0.0060;sessions_held=0
