timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-08T14:49:00Z,CYCN,3.67,n/a,3.2101,2.82,n/a,auto_liquidate_never_touched_breakeven_60min;exit_style=limit_at_bid;exit_order_placed=3.11(gfd_at_bid)
2026-09-08T14:49:00Z,LASE,1.12,1.12,1.08,1.05,0.05,no_change
2026-09-08T14:49:00Z,BANL,7.51,7.51,7.34,6.555,0.05,no_change
2026-09-08T14:49:00Z,OPTT,0.172,0.168,0.165,0.152,0.05,decay_target_updated
2026-09-08T14:49:00Z,XFOR,3.71,3.71,3.53,3.4802,0.05,no_change
2026-09-08T14:49:00Z,CD,3.78,3.78,3.60,3.599,0.05,no_change
2026-09-08T14:49:00Z,NABL,3.82,3.82,3.635,3.625,0.05,no_change
2026-09-08T14:49:00Z,AXG,2.11,2.12,2.00,2.00,0.05,decay_target_updated
2026-09-08T14:49:00Z,MODD,3.48,3.48,3.3099,3.255,0.05,no_change
2026-09-08T14:49:00Z,CVKD,1.57,1.57,1.58,1.20,0.05,no_change
2026-09-08T14:49:00Z,CNXU,6.44,6.44,6.40,4.65,0.05,no_change
2026-09-08T14:49:00Z,CANF,2.67,2.67,2.62,2.23,0.05,no_change
2026-09-08T14:49:00Z,ANVS,1.53,1.53,1.45,1.34,0.05,no_change
