symbol,avg_buy_price,peak_price,decay_pct,decay_target,trailing_target,trailing_valid,new_target,old_target,updated,reason
VIVS,0.55,0.67,0.05,0.578,0.657,True,0.657,0.665,True,trailing_target_lower_than_prior_recompute
VCIG,1.1,1.24,0.05,1.16,1.22,True,1.22,1.22,False,no_change_trailing_governed
STFS,11.15,10.38,0.05,11.71,10.18,False,11.71,11.71,False,no_change_decay_governed
CSAI,0.37,0.39,0.05,0.389,0.383,True,0.389,0.389,False,no_change_decay_governed
GVH,2.16,2.09,0.05,2.27,2.05,False,2.27,2.27,False,no_change_decay_governed
QMLS,12.0,11.9999,0.05,12.61,11.76,False,12.61,12.24,True,decay_reset_for_new_day_from_prior_afternoon_2pct_bracket
AMPG,5.76,5.76,0.05,6.05,5.65,False,6.05,6.05,False,no_change_decay_governed
ATER,0.48,0.4825,0.05,0.504,0.473,False,0.504,0.504,False,no_change_decay_governed
CBRG,4.56,4.55,0.05,4.79,4.46,False,4.79,4.79,False,no_change_decay_governed
SKHL,9.61,9.71,0.05,10.1,9.52,False,10.1,10.1,False,no_change_decay_governed
AAOG,3.05,3.0901,0.05,3.21,3.03,False,3.21,3.21,False,no_change_decay_governed
COHH,7.46,7.2543,0.05,7.84,7.11,False,7.84,7.84,False,no_change_decay_governed
BAOS,1.64,1.61,0.05,1.73,1.58,False,1.73,1.73,False,no_change_decay_governed
XHG,1.04,1.01,0.05,1.1,0.99,False,1.1,1.1,False,no_change_decay_governed
IREG,8.61,9.0,0.05,9.05,8.82,True,9.05,9.05,False,no_change_decay_governed
MODD,2.95,2.85,0.05,3.1,2.8,False,3.1,3.1,False,no_change_decay_governed
SNDC,8.98,9.0,0.05,9.43,8.82,False,9.43,9.43,False,no_change_decay_governed
SPCH,6.59,6.66,0.05,6.92,6.53,False,6.92,6.92,False,no_change_decay_governed
KEEL,4.53,4.5266,0.05,4.76,4.44,False,4.76,4.76,False,no_change_decay_governed
SPAX,6.63,6.72,0.05,6.97,6.59,False,6.97,6.97,False,no_change_decay_governed
SPCU,8.77,8.89,0.05,9.21,8.72,False,9.21,9.21,False,no_change_decay_governed
SKYQ,3.9,3.9,0.05,4.1,3.83,False,4.1,4.1,False,no_change_decay_governed
BCAR,9.09,8.61,0.05,9.55,8.44,False,9.55,9.55,False,no_change_decay_governed
TPET,0.27,0.2738,0.05,0.284,0.269,False,0.284,0.284,False,no_change_decay_governed
DWSN,4.2799,4.2799,0.05,4.5,4.194,False,4.5,4.5,False,new_position_today_target_matches_initial_5pct
TE,4.0199,4.0199,0.05,4.23,3.939,False,4.23,4.23,False,new_position_today_target_matches_initial_5pct
OTLK,0.9599,0.9599,0.05,1.01,0.94,False,1.01,1.01,False,new_position_today_target_matches_initial_5pct
BGIN,1.7999,1.7999,0.05,1.89,1.764,False,1.89,1.89,False,new_position_today_target_matches_initial_5pct
BXBL,3.48,3.48,0.05,3.66,3.41,False,3.66,3.66,False,new_position_today_target_matches_initial_5pct
INDP,1.7054,1.7054,0.05,1.8,1.671,False,1.8,1.8,False,new_position_today_target_matches_initial_5pct
