symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
SOS,0.5631,-0.24719394413991128,a1_spread,spread_pct=0.0892,,2026-09-18T14:43:00Z,10:30
DAIC,4.0386,-0.23775471698113199,a5_compliance,financial_status_indicator=CC10;financial_status_description=Noncompliant,a5;a6,2026-09-18T14:43:00Z,10:30
AEHL,9.825,-0.22457282343368593,a3_prior_spike,peak_to_baseline_ratio=3.515;volume_spike_ratio=n/a(ratio_alone_triggered),,2026-09-18T14:43:00Z,10:30
MSTZ,3.305,-0.21052631578947367,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=inverse exposure;daily price movement of,a8,2026-09-18T14:43:00Z,10:30
TCRT,1.2801,-0.19987500000000005,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-18T14:43:00Z,10:30
DTSS,0.98,-0.19672131147540983,a3_prior_spike,peak_to_baseline_ratio=3.235;volume_spike_ratio=n/a(ratio_alone_triggered),,2026-09-18T14:43:00Z,10:30
FRGT,0.805,-0.19115388553291693,a6_reverse_split_proxy,split_ratio_proxy=63.66,a6,2026-09-18T14:43:00Z,10:30
ABTS,1.195,-0.17877447883765013,a7_thin_liquidity,ask_gap_pct=0.0427;last_real_price=1.170;skip_type=gap_exceeded,,2026-09-18T14:43:00Z,10:30
KXIN,1.445,-0.17428571428571424,a3_prior_spike,peak_to_baseline_ratio=2.102;volume_spike_ratio=19.39,,2026-09-18T14:43:00Z,10:30
VEEA,4.445,-0.16604127579737332,a3_prior_spike,peak_to_baseline_ratio=4.091;volume_spike_ratio=n/a(ratio_alone_triggered),,2026-09-18T14:43:00Z,10:30
WHLR,0.3158,-0.1627783669141038,a1_spread,spread_pct=0.1225,,2026-09-18T14:43:00Z,10:30
CRCD,1.8629,-0.1532272727272728,a6_reverse_split_proxy,split_ratio_proxy=39.31,a6;a8,2026-09-18T14:43:00Z,10:30
RETO,0.177,-0.15311004784688997,a2_atr,atr14_pct=10.454;atr3_pct=30.94,,2026-09-18T14:43:00Z,10:30
BMNZ,4.77,-0.14821428571428574,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=2x inverse exposure,a8,2026-09-18T14:43:00Z,10:30
INFH,7.7,-0.14586799778147536,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=2x leveraged exposure,a8,2026-09-18T14:43:00Z,10:30
WETO,1.6,-0.13978494623655913,a2_atr,atr14_pct=2.569;atr3_pct=0.277,,2026-09-18T14:43:00Z,10:30
JXG,6.49,-0.13811420982735723,a1_spread,spread_pct=0.2623,,2026-09-18T14:43:00Z,10:30
TOPP,0.1362,-0.1368821292775666,a1_spread,spread_pct=0.1388,,2026-09-18T14:43:00Z,10:30
RUBI,1.2401,-0.13279720279720278,a6_reverse_split_proxy,split_ratio_proxy=121918,a6,2026-09-18T14:43:00Z,10:30
ASTY,5.22,-0.12268907563025216,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=2x leveraged exposure,a8,2026-09-18T14:43:00Z,10:30
ASTG,7.21,-0.12196310052974478,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=2x leveraged exposure,a8,2026-09-18T14:43:00Z,10:30
ASTX,9.78,-0.11732851985559573,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=2x exposure,a8,2026-09-18T14:43:00Z,10:30
HCAI,0.5343,-0.11539735099337746,a1_spread,spread_pct=0.0970,,2026-09-18T14:43:00Z,10:30
QBTX,5.8,-0.11450381679389313,a6_reverse_split_proxy,split_ratio_proxy=29.51,a6;a8,2026-09-18T14:43:00Z,10:30
BTCZ,3.2,-0.1123439667128987,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=inverse exposure,a8,2026-09-18T14:43:00Z,10:30
VNCE,8.75,-0.10896130346232182,a3_prior_spike,peak_to_baseline_ratio=1.3805;volume_spike_ratio=14.49,,2026-09-18T14:43:00Z,10:30
CETY,0.9001,-0.10881188118811881,a1_spread,spread_pct=0.1555,,2026-09-18T14:43:00Z,10:30
LUNL,3.315,-0.10767160161507401,a6_reverse_split_proxy,split_ratio_proxy=17.07,a6;a8,2026-09-18T14:43:00Z,10:30
CDT,0.16925,-0.1068601583113456,a2_atr,atr14_pct=1.352;atr3_pct=0.323,,2026-09-18T14:43:00Z,10:30
PMI,5.0212,-0.10335714285714274,a5_compliance,financial_status_indicator=CB4;financial_status_description=Noncompliant,a5;a6,2026-09-18T14:43:00Z,10:30
