timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-14T15:39:00Z,WYHG,5.3,5.3,5.23,4.24,0.05,trailing_invalid_or_below_decay;trailing=5.13;decay=5.30
2026-09-14T15:39:00Z,BANL,7.51,7.51,7.34,5.6,0.05,trailing_invalid_or_below_decay;trailing=7.20;decay=7.51
2026-09-14T15:39:00Z,OCGN,1.18,1.18,1.15,1.0,0.05,trailing_invalid_or_below_decay;trailing=1.13;decay=1.18
2026-09-14T15:39:00Z,FJET,2.33,2.33,2.23,1.89,0.05,trailing_not_valid;trailing=2.19;avg=2.2099
2026-09-14T15:39:00Z,BBOT,6.03,6.03,5.79,4.85,0.05,trailing_not_valid;trailing=5.68;avg=5.7399
2026-09-14T15:39:00Z,CVV,5.19,5.19,4.95,4.56,0.05,trailing_not_valid;trailing=4.86;avg=4.9399
2026-09-14T15:39:00Z,SGLY,1.86,1.86,1.82,1.36,0.05,trailing_invalid_or_below_decay;trailing=1.79;decay=1.86
2026-09-14T15:39:00Z,SMR,9.54,9.54,9.1865,8.235,0.05,trailing_not_valid;trailing=9.01;avg=9.0799
2026-09-14T15:39:00Z,TLS,4.38,4.38,4.18,3.94,0.05,trailing_not_valid;trailing=4.10;avg=4.1699
2026-09-14T15:39:00Z,MKDW,7.24,7.24,6.89,6.18,0.05,trailing_not_valid;trailing=6.76;avg=6.8888;a2_checked_peak_cleared_breakeven
2026-09-14T15:39:00Z,WALD,1.16,1.16,1.14,1.0501,0.05,trailing_invalid_or_below_decay;trailing=1.12;decay=1.16;a2_checked_peak_cleared_breakeven
2026-09-14T15:39:00Z,PCLA,8.14,8.14,7.768,7.34,0.05,trailing_not_valid;trailing=7.62;avg=7.75;a2_not_yet_60min
2026-09-14T15:39:00Z,NSLR,8.69,8.69,8.25,8.0,0.05,trailing_not_valid;trailing=8.09;avg=8.2729;a2_not_yet_60min
2026-09-14T15:39:00Z,XRTX,2.1,2.1,2.025,1.9901,0.05,trailing_not_valid;trailing=1.99;avg=2.00;a2_not_yet_60min
2026-09-14T15:39:00Z,CSHR,5.04,5.04,5.04,4.77,0.05,trailing_invalid_or_below_decay;trailing=4.94;decay=5.04;a2_not_yet_60min
2026-09-14T15:39:00Z,NOK,10.44,10.44,9.93,9.84,0.05,trailing_not_valid;trailing=9.74;avg=9.9359;a2_not_yet_60min
