symbol,old_target,new_target,peak_price,decay_pct,reason
CBRG,5.29,5.3,4.7,0.05,decay_target (ceil rounding correction)
COHH,8.32,8.32,7.715,0.05,no change - decay_target unchanged
BIDG,8.12,8.12,7.69,0.05,no change - decay_target unchanged
AMKL,9.21,9.21,8.46,0.05,no change - decay_target unchanged
VWAV,1.35,1.36,1.34,0.05,decay_target (ceil rounding correction); trailing invalid
CIEG,6.79,6.8,6.315,0.05,decay_target (ceil rounding correction)
ASTY,8.02,8.03,7.34,0.05,decay_target (ceil rounding correction)
PLTD,6.77,6.78,6.47,0.05,decay_target (ceil rounding correction); trailing invalid
CRIS,3.24,3.25,3.119,0.05,decay_target (ceil rounding correction); trailing invalid
ENVX,3.96,3.96,3.735,0.05,no change - decay_target unchanged
