timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-01T13:44:00Z,RYET,0.893,0.893,0.87,0.8001,0.05,no_change_within_tolerance;sessions_held=1;dd=-0.0315
2026-09-01T13:44:00Z,CVKD,1.57,1.57,1.48,1.455,0.05,no_change_within_tolerance;sessions_held=0;dd=-0.0173
2026-09-01T13:44:00Z,INBS,2.33,2.33,2.28,2.165,0.05,no_change_within_tolerance;sessions_held=0;dd=0.0290
