symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
MRNO,0.274,-0.12055837563451771,a1_spread_pct,spread_pct=0.08394,,2026-09-23T13:41:00Z,9:30
FBGL,0.4001,-0.11551011529258208,a1_spread_pct,spread_pct=0.15721,,2026-09-23T13:41:00Z,9:30
SDA,0.4393,-0.10061224489795921,a1_spread_pct,spread_pct=0.11654,,2026-09-23T13:41:00Z,9:30
CTNT,0.0398,-0.15837104072398203,a2_atr_guardrail,atr_14_pct=3.331;atr_3_pct=1.463,,2026-09-23T13:41:00Z,9:30
TOPS,0.7022,-0.18137931034482752,a3_prior_spike,peak_to_baseline_ratio=1.706;volume_spike_ratio=1132.7,,2026-09-23T13:41:00Z,9:30
SVIA,3.805,-0.1802575107296138,a3_prior_spike,peak_to_baseline_ratio=2.285;volume_spike_ratio=11.5,,2026-09-23T13:41:00Z,9:30
FLNA,0.85,-0.16029126213592235,a3_prior_spike,peak_to_baseline_ratio=1.4926;volume_spike_ratio=401.2,,2026-09-23T13:41:00Z,9:30
SLXN,0.3387,-0.14631659444302833,a3_prior_spike,peak_to_baseline_ratio=1.7334;volume_spike_ratio=686.6,,2026-09-23T13:41:00Z,9:30
RAIN,0.89,-0.14549019607843133,a3_prior_spike,peak_to_baseline_ratio=1.7415;volume_spike_ratio=100.5,,2026-09-23T13:41:00Z,9:30
LHSW,0.7613,-0.143740861545383,a3_prior_spike,peak_to_baseline_ratio=1.5629;volume_spike_ratio=397.1,,2026-09-23T13:41:00Z,9:30
HLSQ,0.5766,-0.13682634730538926,a3_prior_spike,peak_to_baseline_ratio=1.5314;volume_spike_ratio=10.57,,2026-09-23T13:41:00Z,9:30
CRMU,2.5714,-0.11082679207441475,a3_prior_spike,peak_to_baseline_ratio=1.6136;volume_spike_ratio=19.4,,2026-09-23T13:41:00Z,9:30
BYND,9.9,-0.13396177237185058,a6_reverse_split_proxy,split_ratio_proxy=23.30,a6,2026-09-23T13:41:00Z,9:30
NEXR,1.46,-0.10967741935483881,a6_reverse_split_proxy,split_ratio_proxy=571.7,a6,2026-09-23T13:41:00Z,9:30
AEHG,8.055,-0.11124318429661934,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;desc_marker=2x leveraged exposure/daily price movement of,a8,2026-09-23T13:41:00Z,9:30
YMT,1.815,-0.10591133004926102,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-23T13:41:00Z,9:30
OPEX,4.655,-0.10133843212237098,a6_reverse_split_proxy,split_ratio_proxy=27.6,a6;a8,2026-09-23T13:41:00Z,9:30
SVRE,2.38,-0.15,a7_thin_liquidity,ask_gap_pct=0.0391;last_real_price=2.30;ask=2.39,,2026-09-23T13:41:00Z,9:30
ZKIN,1.29,-0.11034482758620684,a7_thin_liquidity,ask_gap_pct=0.0775;last_real_price=1.29;ask=1.39,,2026-09-23T13:41:00Z,9:30
