symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
FRGT,0.381,-0.20408163265306117,a1_spread,spread_pct=0.0948,,2026-09-24T14:40:00Z,10:30
NCT,4.7,-0.13443830570902388,a1_spread,spread_pct=0.1021,,2026-09-24T14:40:00Z,10:30
JAGX,6.99,-0.21885521885521886,a2_atr,atr_14_pct=0.8121;atr_3_pct=2.5266,,2026-09-24T14:40:00Z,10:30
HCTI,0.722,-0.20755131160136103,a2_atr,atr_14_pct=0.3440;atr_3_pct=1.1271,,2026-09-24T14:40:00Z,10:30
CTNT,0.0306,-0.20052083333333323,a2_atr,atr_14_pct=4.0500;atr_3_pct=1.3916,,2026-09-24T14:40:00Z,10:30
SGMT,8.9,-0.1429942418426104,a2_atr,atr_14_pct=0.6758;atr_3_pct=0.8593,,2026-09-24T14:40:00Z,10:30
MTC,6.1908,-0.10549132947976872,a2_atr,atr_14_pct=1.0600;atr_3_pct=1.8114,,2026-09-24T14:40:00Z,10:30
FISN,7.01,-0.10128205128205128,a2_atr,atr_14_pct=0.9816;atr_3_pct=0.9752,,2026-09-24T14:40:00Z,10:30
VTGN,0.3016,-0.18023887079261675,a3_prior_spike,ratio=1.503;volume_spike=1641.50,,2026-09-24T14:40:00Z,10:30
SLXN,0.2605,-0.17856010149064386,a3_prior_spike,ratio=1.521;volume_spike=720.89,,2026-09-24T14:40:00Z,10:30
BFRG,0.781,-0.17031578947368417,a3_prior_spike,ratio=1.942;volume_spike=1217.96,,2026-09-24T14:40:00Z,10:30
MSS,1.785,-0.15142857142857144,a3_prior_spike,ratio=1.438;volume_spike=505.04,,2026-09-24T14:40:00Z,10:30
DBGI,4.85,-0.138353765323993,a3_prior_spike,ratio=1.568;volume_spike=22.44,,2026-09-24T14:40:00Z,10:30
ONCO,0.7894,-0.13615384615384615,a3_prior_spike,ratio=1.481;volume_spike=186.28,,2026-09-24T14:40:00Z,10:30
AVAT,1.9394,-0.1223076923076923,a3_prior_spike,ratio=3.125;volume_spike=39.24,,2026-09-24T14:40:00Z,10:30
TRUG,0.4053,-0.10901098901098907,a3_prior_spike,ratio=1.549;volume_spike=551.76,,2026-09-24T14:40:00Z,10:30
SFIX,2.135,-0.240354609929078,a4_earnings_recency,days_since_earnings=1,,2026-09-24T14:40:00Z,10:30
RKDA,0.3371,-0.2253521126760563,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-24T14:40:00Z,10:30
ADGM,0.1816,-0.19166666666666674,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-24T14:40:00Z,10:30
AUUD,1.0796,-0.17564885496183202,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-24T14:40:00Z,10:30
OBAI,0.2127,-0.1492,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-24T14:40:00Z,10:30
CAPS,0.1744,-0.14131501472031413,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-24T14:40:00Z,10:30
GETY,0.1894,-0.13882567137005006,a5_compliance,financial_status_indicator=CA4;financial_status_description=Noncompliant,a5;a6,2026-09-24T14:40:00Z,10:30
ZBAO,0.0831,-0.13298969072164957,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-24T14:40:00Z,10:30
HUBC,2.68,-0.18068535825545173,a6_reverse_split_proxy,split_ratio_proxy=306436.19,a6,2026-09-24T14:40:00Z,10:30
SMX,8.3406,-0.134792531120332,a6_reverse_split_proxy,split_ratio_proxy=13106.32,a6,2026-09-24T14:40:00Z,10:30
GMEX,0.3815,-0.11017543859649118,a6_reverse_split_proxy,split_ratio_proxy=10027.15,a6,2026-09-24T14:40:00Z,10:30
BKYI,2.2,-0.11646586345381527,a7_thin_liquidity,ask_gap_pct=0.0545;last_real_price=2.20;reason=gap_exceeded,,2026-09-24T14:40:00Z,10:30
