symbol,quantity,avg_fill_price,total_cost,limit_sell_price_initial,buy_order_id,sell_order_id,atr_14_pct,atr_3_pct
LASE,127,0.8222,104.4194,0.87,6a5a3068-be07-491b-b474-01b11ba229e1,6a5a3072-39eb-4382-aa7f-342814da7c8a,0.2795,0.1098
RGNX,11,8.805,96.855,9.25,6a5a3085-0aa3-4075-8bb0-5c10ee15e093,6a5a308d-3ede-42e4-ae90-cc85569133ca,0.1263,0.1283
CYCU,274,0.394,107.956,0.42,6a5a30b2-9c9c-4365-8bd3-0ed8ca915b7d,6a5a30bc-114d-46b9-95c4-09db034f7480,0.1725,0.1548
CSAI,291,0.369,107.379,0.39,6a5a30d0-af16-43c3-b8c6-ba81674e86b4,6a5a30d9-7c68-4483-bd9f-2e826879df46,0.1535,0.1166
CETY,121,1.0199,123.4079,1.08,6a5a30ec-64a1-43b2-a6d9-f25e35ec485e,6a5a30f6-e730-4069-a45b-1dfa33b2f637,0.1010,0.1190
VMAR,13,0.835,10.855,0.88,6a5a3109-a94f-44fa-a30c-8a5a096626ab,6a5a3112-56fa-4a8c-acf7-fd75741314b6,0.6641,0.5800
