symbol,quantity,avg_fill_price,total_cost,limit_sell_price,buy_order_id,sell_order_id
NVVE,12,8.5888,103.0656,8.77,6a591089-e44b-4fd5-9b3d-2031854c8e3d,6a591099-7dc8-4da9-ae0b-40d0fb168b09
ARI,14,7.0199,98.2786,7.17,6a5910b2-a977-4a4b-b418-3be8e064f941,6a5910c4-ea68-482f-84cc-d2d98a21f076
VCIG,95,1.10,104.50,1.13,6a5910e2-5c82-49d3-8af3-6846b1b78fd0,6a5910ef-c00e-42de-9a2f-969acccf7e41
GORO,44,0.9931,43.6964,1.02,6a591166-38fd-4403-8f57-6db4fdf7aae7,6a591174-5fcf-446c-9521-48c2f3efc470
