symbol,name,last_price,pct_change,market_cap,volume
AIXI,Xiao-I Corporation,0.79,-0.3969465648854962,1.215176e+06,1.62693446712e+07
WETO,Wetour Robotics,17.36,-0.38678912045213704,2.3236848e+07,476512.901663
HODO,House of Doge,0.2728,-0.2932642487046633,3.2772552e+07,1.264286240105e+06
CYCU,"Cycurion, Inc.",0.467,-0.28186990619713975,1.6796217e+07,1.0680937391295e+07
NEXR,Nexera Technologies,2.0299,-0.24818518518518523,1.494003e+06,3.067207240766e+06
IPST,IP Strategy Holdings,5.91,-0.24035989717223652,5.613876e+06,174170.888809
USBC,USBC,0.411,-0.20625724217844738,2.00981185e+08,1.627841847049e+06
GENB,Generate Biomedicines,16.28,-0.20117762512266918,2.61710617e+09,3.269759506054e+06
JEM,707 Cayman Holdings Limited,5.436,-0.2,4.569491e+06,520594.216836
ELMD,Electromed,31.74,-0.19318759532282676,3.25737717e+08,296689.515437
GCL,GCL Global Holdings,0.6007,-0.19184716803444093,9.5148868e+07,365536.641588
QFIN,"Qfin Holdings, Inc.",9.349,-0.18915871639202075,1.365926767e+09,9.883229717975e+06
MBAI,Check-Cap,6.6,-0.18316831683168322,1.1127867e+07,36647.428345
JZ,Jianzhi Education Technology Group,1.8,-0.18181818181818185,5.25012e+06,364176.867267
AMCI,AMC Robotics,4.01,-0.18163265306122459,1.13711472e+08,275170.84365
BVC,BitVentures Limited,12.19,-0.16848567530695774,2.46288e+09,14815.13015
DDC,DDC Enterprise Limited,0.5802,-0.16805276742185254,3.3134191e+07,5.895790325738e+06
BDRX,Biodexa Pharmaceuticals,0.9899,-0.1611016949152542,1.193716e+06,1.08215334999e+06
ADBT,Advasa Holdings,5.27,-0.15814696485623006,3.165927063e+09,427209.626108
EXOD,Exodus Movement,8.17,-0.15686274509803919,2.92669569e+08,228179.889047
AKAN,Akanda,4.2203,-0.14741414141414147,2.690683e+06,352062.441447
AGRZ,Agroz Inc. Class A,0.2226,-0.14647239263803677,5.611265e+06,442421.970625
FBDT,First Breach Inc.,1.225,-0.14335664335664325,6.5774022e+07,2.161562731015e+06
EMAT,Evolution Metals & Technologies Corp,3.39,-0.13959390862944157,2.449894545e+09,1.031244043163e+06
PFSA,Profusa,4.3058,-0.13884000000000007,2.965028e+06,264463.153558
