symbol,quantity,avg_fill_price,sell_target,bracket_last_price,bracket_pct_change,spread_pct,atr14_pct,atr3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,industry,ask_gap_pct,firing
KPTI,3,1.3099,1.38,1.3022,-0.19617283950617287,0.77,20.03,8.38,1.08,no_data,29,CC0,,8.44,Pharmaceuticals: Major,1.16,10:30
SMR,1,9.0799,9.54,9.15,-0.10381978452497555,0.11,7.53,8.11,1.24,no_data,37,CA0,,6.30,Electrical Products,0.16,10:30
TLS,1,4.1699,4.38,4.21,-0.10042735042735038,0.47,5.46,5.05,1.11,no_data,32,CC0,,1.98,Information Technology Services,1.32,10:30
