symbol,last_price,pct_change,guardrail_failed,detail
SHMD,3.675,-0.24123711340206178,a4_earnings_recency,days_since_earnings=1;report_date=2026-08-24
RITR,0.0905,-0.2121739130434783,a1_spread,spread_pct=0.0818
LGVN,0.6696,-0.2047027930293626,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
XPON,5.01,-0.19643548387096776,a3_prior_spike,peak_to_baseline_ratio=2.764;volume_spike_ratio=3329.30
IPST,6.9484,-0.18896270396270393,a3_prior_spike,peak_to_baseline_ratio=11.432;volume_spike_ratio=1099.13
LGHL,0.513,-0.1844197138314785,a6_reverse_split_proxy,split_ratio_proxy=618.05
AMOD,3.81,-0.18240343347639487,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
SMCZ,3.095,-0.16444743935309974,a6_reverse_split_proxy,split_ratio_proxy=21.55
RCON,2.405,-0.16376306620209066,a2_atr,atr_14_pct=3.547;atr_3_pct=0.4745
NCTY,4.7216,-0.1523159784560145,a4_earnings_recency,days_since_earnings=1;report_date=2026-08-24
SGLY,2.12,-0.1521739130434782,a3_prior_spike,peak_to_baseline_ratio=1.398;volume_spike_ratio=38.13
TRUG,0.5519,-0.14973838104032017,a3_prior_spike,peak_to_baseline_ratio=2.128;volume_spike_ratio=725.16
SNYR,0.0889,-0.145933014354067,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
FGL,0.2367,-0.14088598402323885,a6_reverse_split_proxy,split_ratio_proxy=604.06
CNTX,0.4,-0.14052428018908458,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
MCRP,1.0,-0.12931034482758613,a1_spread,spread_pct=0.085
ZCMD,0.8102,-0.12623549634722814,a6_reverse_split_proxy,split_ratio_proxy=1193.66
LRHC,0.5387,-0.12210353327855386,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
ETS,0.8757,-0.12192920886393255,a7_thin_liquidity,ask_gap_pct=0.0413;last_real_price=0.8757;skip_reason=gap_exceeded
CDT,2.2026,-0.11646586345381527,a6_reverse_split_proxy,split_ratio_proxy=1570.9
YJ,2.52,-0.11538461538461542,a3_prior_spike,peak_to_baseline_ratio=11.076;volume_spike_ratio=17293.05
HOOZ,8.2019,-0.11426004228329825,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse exposure
AIXC,0.8301,-0.11125346999786458,a3_prior_spike,peak_to_baseline_ratio=3.997;volume_spike_ratio=2086.15
CDTG,1.0404,-0.1111965811965811,a2_atr,atr_14_pct=1.1413
WKSP,0.4878,-0.10906438081342335,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
BMNZ,5.92,-0.10891074130105899,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse exposure
BRIA,1.25,-0.10739788631819486,a1_spread,spread_pct=0.168
MXC,8.6501,-0.10731682146542822,a1_spread,spread_pct=0.1029
MI,2.62,-0.10689655172413795,a6_reverse_split_proxy,split_ratio_proxy=204.6
NXTT,6.92,-0.10362694300518133,a2_atr,atr_14_pct=0.8938
CMCT,4.3386,-0.10359504132231412,a6_reverse_split_proxy,split_ratio_proxy=332.2
DETX,3.3313,-0.10321156486391901,a1_spread,spread_pct=0.168
ALBG,7.06,-0.10319565491979288,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure
