symbol,name,last_price,pct_change,market_cap,volume
EYPT,EyePoint,4.705,-0.6810169491525424,1.272491156e+09,4.632650597899e+07
ZTG,Zenta Group Co Ltd Class A,3.25,-0.6690427698574338,1.16671328e+08,1.949432643231e+06
AIFU,AIFU Inc.,17.2,-0.5261707988980716,2.15103127e+08,160579.458117
FTRK,Fast Track Group,0.1611,-0.4367132867132867,6.564928e+06,1.393650989084e+06
BRFH,Barfresh Food Group,1.305,-0.3203125,3.0995521e+07,132453.29944
NXGL,NexGel,0.385,-0.3185840707964601,5.180895e+06,1.807275188413e+06
GIPR,Generation Income Properties,0.3401,-0.317753259779338,508297,2.250042130684e+06
PROP,Prairie Operating Co.,0.7111,-0.28890000000000005,9.7732173e+07,1.0091988795557e+07
BALY,Bally's Corporation,10.055,-0.28127233738384566,6.84793642e+08,516518.56921
BTAI,BioXcel Therapeutics,0.8943,-0.24848739495798317,3.6744349e+07,2.104924661885e+06
CISS,C3is Inc,0.06,-0.2433795712484237,114655,2.728629272752e+07
SCKT,Socket Mobile,0.8951,-0.2349572649572649,9.477101e+06,1.099531926613e+06
AUID,authID Inc.,0.4081,-0.22693691987118775,8.826666e+06,583697.426732
CTOR,Citius Oncology,0.705,-0.22510441855352833,8.5533409e+07,232497.94016
DFSC,DEFSEC Technologies,2.325,-0.22499999999999995,8.002757e+06,9.709706653009e+06
VWAV,VisionWave Holdings,1.38,-0.22471910112359558,5.2656082e+07,3.106243124512e+06
PMAX,Powell Max Limited,1.21,-0.2243589743589744,2.675918e+06,85259.6553
CTXR,Citius Pharmaceuticals,0.5864,-0.223928004235045,2.0677275e+07,2.100874979732e+06
RKDA,Arcadia Biosciences,0.4848,-0.22382324687800195,1.445526e+06,610824.49836
FTK,Flotek,28.485,-0.20499581356405244,1.297777971e+09,2.447302676122e+06
ONMD,OneMedNet Corp,0.6282,-0.19585253456221202,4.4089895e+07,956226.113087
EJH,E-Home Household Service,1.4,-0.19540229885057475,5.568267e+06,76598.814096
RFAI,RF Acquisition Corp II,8.94,-0.19386834986474305,9.2532353e+07,10465.848552
APUS,Apimeds Pharmaceuticals US,3.675,-0.19230769230769232,6.866482e+06,1.580948949224e+06
VTAK,Catheter Precision,0.2269,-0.18964285714285725,1.010651e+06,3.393982718086e+06
PLYX,Polaryx Therapeutics,2.11,-0.18846153846153854,1.29948503e+08,248725.492826
SORA,AsiaStrategy,2.21,-0.18148148148148155,6.812736e+07,134575.913356
RIME,Algorhythm Holdings,0.3072,-0.1810183950946415,5.785505e+06,2.254847782094e+06
DDC,DDC Enterprise Limited,0.5445,-0.17996987951807236,3.1547323e+07,227769.36239
ENVX,Enovix,3.605,-0.17881548974943046,9.65573554e+08,3.0064460763623e+07
CXAI,CXApp,0.0912,-0.17540687160940324,1.2332245e+07,1.5426105812094e+07
TOPP,Toppoint Holdings Inc.,0.2161,-0.17203065134099624,6.4467e+06,911998.431492
CUE,Cue Biopharma,28.33,-0.17163742690058492,2.33428303e+08,267569.034722
AKAN,Akanda,5.3521,-0.1702170542635659,3.464086e+06,1.042860240701e+06
BRNX,BrenX Ltd.,2.9498,-0.16907042253521118,1.550579e+06,3.354612563392e+06
CURI,CuriosityStream,2.975,-0.16197183098591542,2.10649999e+08,2.859250533282e+06
SKYE,Skye Bioscience,0.4225,-0.15752741774675966,1.7624576e+07,1.2064721732732e+07
UAVS,Ag Eagle Aerial Systems,0.9233,-0.15293577981651382,6.387086e+07,4.26408095622e+06
NWGL,CL Workshop Group Limited,0.37,-0.15293040293040297,2.156288e+06,772584
STEX,Streamex Corp,0.8826,-0.15134615384615382,1.08445809e+08,1.161395350313e+06
ENHA,Enhanced Group Inc.,1.665,-0.15051020408163263,2.52168086e+08,3.817762680992e+06
IPDN,Professional Diversity Network,0.2199,-0.15030911901081903,3.320487e+06,277497.359955
HYFM,Hydrofarm,1.25,-0.1496598639455782,6.980156e+06,217079.978244
CABO,Cable One,29.375,-0.14805684454756374,1.95636934e+08,271323.260251
BZAI,Blaize Holdings,0.5054,-0.14786713876243468,8.5581251e+07,3.0559186115841e+07
CLDI,Calidi Biotherapeutics,1.355,-0.14779874213836483,3.888179e+06,276653.466815
GYGY,Game Your Game,1.85,-0.14746543778801838,3.122196e+07,186535.914619
GSUN,Golden Sun Technology Group,0.307,-0.1472222222222222,3.610393e+06,833791.717144
BYSI,BeyondSpring,0.72,-0.1419377904898105,3.450364e+07,302726.912791
MODD,Modular Medical,2.14,-0.14056224899598396,1.3370505e+07,2.207299842008e+06
AMZE,Amaze Holdings,0.2107,-0.13999999999999999,1.80032e+06,5.122250562413e+06
EZGO,EZGO Technologies,0.99,-0.13913043478260864,2.536488e+06,103188.375043
INV,"Innventure, Inc.",1.395,-0.13622291021671826,1.37072504e+08,1.4633295962971e+07
IVDA,Iveda Solutions,0.368,-0.13615023474178403,4.841085e+06,3.016193840819e+06
AIAI,AIAI Holdings Corporation,5.08,-0.13605442176870747,4.13446261e+08,223905.04339
CAST,"FreeCast, Inc.",0.8618,-0.13499949814312953,4.6653231e+07,1.518868347434e+06
SJ,Scienjoy,0.825,-0.13157894736842105,4.0339629e+07,18209.0292
GRAN,Grande Group Limited,1.26,-0.13103448275862065,3.6114062e+07,1310.784954
SDOT,Sadot Group,10.21,-0.13032367972742753,1.2376028e+07,298706.449892
JWEL,Jowell Global,2.69,-0.12944983818770225,7.342244e+06,33216.523183
PARA,Banzai International,1.4801,-0.1293529411764706,5.634491e+06,314678.20541
CNSY,"Cerenome, Inc.",3.205,-0.12907608695652176,2.533274e+07,265804.681681
EXOD,Exodus Movement,6.78,-0.12741312741312733,2.34679314e+08,110911.546117
MSGM,Motorsport Games,3.88,-0.12612612612612623,1.8616285e+07,225986.454943
BIVI,BioVie,1.225,-0.12499999999999988,1.0559693e+07,2.418244897041e+06
USIO,Usio,2.42,-0.12318840579710141,7.8359538e+07,664295.988159
AIRS,AirSculpt Technologies,3.008,-0.12303206997084552,2.47286566e+08,831224.89676
NYC,American Strategic,6.63,-0.12301587301587298,2.3917057e+07,18731.0178
CANG,Cango,1.8,-0.12195121951219502,8.4095032e+07,76751.604356
RNXT,RenovoRx,1.23,-0.12142857142857139,6.3181311e+07,1.069709518124e+06
GCDT,Green Circle Decarbonize Technology,0.431,-0.12076703386372914,6.311968e+06,102337.9665
