timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-10T13:50:00Z,WYHG,5.3,5.3,5.0999,4.6,0.05,no_change;decay_target=5.30;trailing_invalid(4.99<cost)
2026-09-10T13:50:00Z,BANL,7.51,7.51,7.34,5.6,0.05,no_change;decay_target=7.51;trailing=7.20(<decay)
2026-09-10T13:50:00Z,ANVS,1.53,1.53,1.45,1.17,0.05,no_change;decay_target=1.53;trailing_invalid(1.43<cost);sessions_held=4
2026-09-10T13:50:00Z,OCGN,1.18,1.18,1.15,1.05,0.05,no_change;decay_target=1.18;trailing=1.13(<decay)
2026-09-10T13:50:00Z,FJET,2.33,2.33,2.23,1.96,0.05,no_change;decay_target=2.33;trailing_invalid(2.19<cost)
2026-09-10T13:50:00Z,RWT,3.53,3.53,3.4,3.2201,0.05,no_change;newly_bought_this_firing;decay_target=3.53;trailing_invalid
2026-09-10T13:50:00Z,CLIK,1.15,1.15,1.1003,1.0101,0.05,no_change;newly_bought_this_firing;decay_target=1.15;trailing_invalid
2026-09-10T13:50:00Z,SKYX,1.25,1.25,1.195,1.175,0.05,no_change;newly_bought_this_firing;decay_target=1.25;trailing_invalid
2026-09-10T13:50:00Z,SLBT,2.5,2.5,,,0.05,no_change;newly_bought_this_firing;decay_target=2.50;no_real_bars_since_fill_yet
2026-09-10T13:50:00Z,GDHG,1.31,1.31,1.24,1.19,0.05,no_change;newly_bought_this_firing;decay_target=1.31;trailing_invalid
