timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-08T15:39:00Z,LASE,1.12,1.12,1.08,1.05,0.05,no_change
2026-09-08T15:39:00Z,MODD,3.48,3.48,3.28,3.0301,0.05,no_change
2026-09-08T15:39:00Z,BANL,7.51,7.51,7.34,6.555,0.05,no_change
2026-09-08T15:39:00Z,CVKD,1.57,1.57,1.58,1.1903,0.05,no_change
2026-09-08T15:39:00Z,CNXU,6.44,6.44,6.40,4.65,0.05,no_change
2026-09-08T15:39:00Z,CANF,2.67,2.67,2.62,2.23,0.05,no_change
2026-09-08T15:39:00Z,ANVS,1.53,1.53,1.44,1.3201,0.05,no_change
2026-09-08T15:39:00Z,OPTT,0.168,0.168,0.1607,0.152,0.05,no_change
2026-09-08T15:39:00Z,XFOR,3.71,3.71,3.495,3.425,0.05,no_change
2026-09-08T15:39:00Z,CD,3.78,3.78,3.63,3.535,0.05,no_change
2026-09-08T15:39:00Z,NABL,3.82,3.82,3.685,3.59,0.05,no_change
2026-09-08T15:39:00Z,AXG,2.12,2.12,2.0013,1.90,0.05,no_change
