timestamp_utc,firing,symbol,bracket_last_price,bracket_pct_change,spread_pct,atr14_pct,atr3_pct,prior_spike_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,industry,quantity,avg_fill_price,limit_sell_price,order_id_buy,order_id_sell
2026-09-18T14:43:00Z,10:30,AEI,0.8401,-0.13480947476828015,0.01476,0.1302,0.1009,1.0343,,35,CC0,,4.696,0.00744,Real Estate Development,5,0.8535,0.897,6aad4e1f-a5cb-4532-b626-a301808c069f,6aad4e34-31d4-4900-bb06-61d425f1fd18
2026-09-18T14:43:00Z,10:30,RTB,7.745,-0.10874568469505172,0.01667,0.2486,0.2865,1.1233,,35,CC0,,2.66,0.01477,Packaged Software,1,7.7744,8.17,6aad4e24-aea5-4a23-bd2d-fe4ac55964aa,6aad4e36-e0eb-4816-8a0a-1dadadffbbc0
2026-09-18T14:43:00Z,10:30,TRVG,5.97,-0.10762331838565031,0.01005,0.0798,0.1248,1.1771,,45,CC0,,1.139,0.00846,Internet Software/Services,1,5.9327,6.23,6aad4e2a-f75c-4623-a958-da693b45ca82,6aad4e37-1dd9-4ba3-a77f-1cec355465f8
