symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.38,7.31,7.06,0.04,decay
SOBR,1.26,1.25,1.215,0.04,decay
ALP,0.263,0.260,0.2578,0.04,decay
VIVS,0.704,0.697,0.6469,0.04,decay
ZBAO,0.263,0.260,0.2577,0.04,decay
VCIG,1.22,1.22,1.24,0.04,no change
PLAG,1.03,1.02,1.010,0.04,decay
STFS,11.71,11.60,10.38,0.04,decay
CYCU,0.41,0.406,0.407,0.04,decay
CSAI,0.389,0.385,0.390,0.04,decay
CETY,1.08,1.07,0.9898,0.04,decay
POM,1.17,1.16,1.130,0.04,decay
FRGT,4.02,3.98,3.930,0.04,decay
DFNS,7.98,6.27,n/a,0.04,decay (no buy-fill order found in history; trailing peak not computable, decay-only)
GVH,2.27,2.25,2.070,0.04,decay
MSS,0.483,0.479,0.4796,0.04,decay
BIVI,1.51,1.49,1.490,0.04,decay
GLXG,0.966,0.957,0.9365,0.04,decay
QMLS,12.60,12.48,11.9999,0.04,decay
LITZ,16.94,16.78,16.570,0.04,decay
TEMT,17.80,17.63,16.860,0.04,decay
