symbol,side,quantity,avg_fill_price,order_id,sell_order_id,limit_sell_price,last_price_at_scan,pct_change_at_scan,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,split_ratio_proxy,ask_gap_pct,timestamp
CONX,buy,1,4.9873,6a6ca6a0-6d64-47d8-8fbc-7f10fed0a055,6a6ca6fa-35de-4b18-b0e0-081f54adcd9e,5.24,4.79,-0.21108051190669042,0.00417,0.1477,0.1263,1.274,1.87,none,CC0,5.914,0.00627,2026-07-31T13:44:00Z
CONL,buy,1,4.1199,6a6ca6a7-a5e9-484e-9001-43318f7a6674,6a6ca6fc-bfb3-4e50-b419-8c9775bd28b9,4.33,4.0001,-0.21102564102564111,0.00253,0.1545,0.1300,1.273,2.01,none,CC0,13.79,-0.0075,2026-07-31T13:44:07Z
COIG,buy,1,4.0799,6a6ca6b1-6e2e-46ee-a6b2-a4f79081a160,6a6ca6fd-117b-430b-b19f-e1fa18c22013,4.29,3.94,-0.21013592077302434,0.00515,0.1498,0.1277,1.265,3.19,none,CC0,14.0,0.00258,2026-07-31T13:44:17Z
COIA,buy,1,6.2199,6a6ca6cc-e535-4dd2-8695-a58af55aaff0,6a6ca6ff-5aa2-41b2-aaf7-5a18366760ab,6.54,6.1,-0.20984455958549225,0.00332,0.1474,0.1251,1.267,1.90,none,CB0,14.01,-0.00494,2026-07-31T13:44:44Z
RBLY,buy,1,9.5299,6a6ca6d7-ab6a-41d9-91a1-331bb287d263,6a6ca700-d8da-4bc9-85b2-e6cb94999aa9,10.01,9.71,-0.1778711010261794,0.01784,0.0578,0.0496,1.017,2.46,none,CB0,6.13,0,2026-07-31T13:44:55Z
AMZD,buy,1,8.3199,6a6ca6dd-6936-414e-931f-3f02deee3682,6a6ca702-90f7-4c8d-84d4-657eac23c76a,8.74,8.24,-0.13626834381551353,0.0012,0.0341,0.0430,1.084,1.41,none,CC0,1.43,0.00182,2026-07-31T13:45:01Z
COIW,buy,1,7.6299,6a6ca6e4-bd03-438b-a803-34dd0c7666b9,6a6ca703-aeb1-480d-a09a-44f528d11fd8,8.02,7.63,-0.12096774193548386,0.0053,0.0805,0.0676,1.130,1.73,none,CB0,7.47,-0.00198,2026-07-31T13:45:08Z
