timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
20260915T1541Z,WYHG,5.30,5.30,5.23,3.95,0.05,no_change_decay_still_valid
20260915T1541Z,OCGN,1.18,1.18,1.15,0.9916,0.05,no_change_decay_still_valid
20260915T1541Z,FJET,2.33,2.33,2.23,1.86,0.05,no_change_decay_still_valid
20260915T1541Z,BBOT,6.03,6.03,5.79,4.7201,0.05,no_change_decay_still_valid
20260915T1541Z,CVV,5.19,5.19,5.05,4.50,0.05,no_change_decay_still_valid
20260915T1541Z,SMR,9.54,9.54,9.1865,8.24,0.05,no_change_decay_still_valid
20260915T1541Z,MKDW,7.24,7.24,6.935,6.17,0.05,no_change_decay_still_valid
20260915T1541Z,PCLA,8.14,8.14,8.00,7.34,0.05,no_change_decay_still_valid
20260915T1541Z,BIVI,1.77,1.77,1.69,1.65,0.05,no_change_decay_still_valid
20260915T1541Z,CNXU,4.70,4.70,4.56,4.47,0.05,no_change_decay_still_valid
20260915T1541Z,IOTR,1.63,1.63,1.55,1.50,0.05,no_change_decay_still_valid
20260915T1541Z,CRBP,6.79,6.79,6.53,6.36,0.05,no_change_decay_still_valid
20260915T1541Z,YMAT,1.82,1.82,1.71,1.4561,0.05,no_change_decay_still_valid
20260915T1541Z,CYPH,2.27,2.27,2.19,2.10,0.05,no_change_decay_still_valid
20260915T1541Z,SION,7.66,7.66,7.265,7.05,0.05,no_change_decay_still_valid
20260915T1541Z,ZSQR,2.61,2.61,2.475,2.29,0.05,no_change_decay_still_valid
20260915T1541Z,RADX,1.91,1.91,1.81,1.80,0.05,no_change_decay_still_valid
20260915T1541Z,PRPL,3.01,3.01,2.99,2.87,0.05,no_change_decay_still_valid
