symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
NNOX,0.703,-0.24432978609050848,a4_earnings_recency,days_since_earnings=0;report_date=2026-09-09,,2026-09-09T13:42:00Z,9:30
NUR,1.874,-0.2382113821138211,a2_atr_guardrail,atr14_pct=0.4004;atr3_pct=1.1728,,2026-09-09T13:42:00Z,9:30
LHSW,1.0104,-0.2345454545454546,a2_atr_guardrail,atr14_pct=0.9627;atr3_pct=2.1128,,2026-09-09T13:42:00Z,9:30
CRMT,1.94,-0.22088353413654627,a6_reverse_split_proxy,split_ratio_proxy=18.87;high_52w=37.74;last=2.00,a6,2026-09-09T13:42:00Z,9:30
JFU,2.21,-0.18750000000000008,a1_spread_guardrail,spread_pct=0.1983;bid=2.41;ask=2.88;last=2.37,,2026-09-09T13:42:00Z,9:30
TRBG,4.36,-0.17813383600376992,a2_atr_guardrail,atr14_pct=0.6691;atr3_pct=1.7143,,2026-09-09T13:42:00Z,9:30
GOSS,0.1509,-0.1612006670372429,a3_prior_spike_guardrail,peak_to_baseline_ratio=1.403;volume_spike_ratio=8.815,,2026-09-09T13:42:00Z,9:30
WYHG,5.0101,-0.1479421768707482,a7_thin_liquidity_guardrail,ask_gap_pct=0.0506;last_real_price=4.9401;ask=5.19;reason=gap_exceeded,,2026-09-09T13:42:00Z,9:30
GMEX,0.555,-0.12349968414403023,a6_reverse_split_proxy,split_ratio_proxy=14549.4;high_52w=7958.21;last=0.547,a6,2026-09-09T13:42:00Z,9:30
SDA,0.434,-0.11931818181818185,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-09T13:42:00Z,9:30
ANPA,2.92,-0.11515151515151513,a6_reverse_split_proxy,split_ratio_proxy=61.86;high_52w=180.6394;last=2.9201,a6,2026-09-09T13:42:00Z,9:30
WHLR,0.3431,-0.11320754716981132,a1_spread_guardrail,spread_pct=0.1403;bid=0.3304;ask=0.3799;last=0.3528,,2026-09-09T13:42:00Z,9:30
FEED,3.8001,-0.1121261682242991,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-09T13:42:00Z,9:30
UZX,0.103,-0.11206896551724148,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-09T13:42:00Z,9:30
IRAB,8.96,-0.10399999999999991,a7_thin_liquidity_guardrail,no_recent_real_trades;15min_window_all_zero_volume,,2026-09-09T13:42:00Z,9:30
FBGL,0.355,-0.10058272105396507,a1_spread_guardrail,spread_pct=0.1082;bid=0.3556;ask=0.394;last=0.355,,2026-09-09T13:42:00Z,9:30
