timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-08-24T15:38:00Z,TPET,0.221,0.221,0.2185,0.2,0.05,no_change_decay_target_unchanged
2026-08-24T15:38:00Z,PLTD,6.78,6.78,6.47,5.03,0.05,no_change_decay_target_unchanged
2026-08-24T15:38:00Z,CRIS,3.25,3.25,3.119,1.5,0.05,no_change_decay_target_unchanged
2026-08-24T15:38:00Z,ENVX,3.96,3.96,3.77,3.06,0.05,no_change_decay_target_unchanged
2026-08-24T15:38:00Z,SAGT,0.756,0.756,0.7219,0.6018,0.05,no_change_decay_target_unchanged
