symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
DAIC,3.6028,-0.23491379310344826,a3_prior_spike,peak_to_baseline_ratio=8.491;volume_spike_ratio=2868.09,,2026-08-31T14:38:00Z,10:30
CRE,3.08,-0.2122762148337596,a3_prior_spike,peak_to_baseline_ratio=3.099;volume_spike_ratio=2789.04,,2026-08-31T14:38:00Z,10:30
TRON,1.695,-0.19230769230769237,a3_prior_spike,peak_to_baseline_ratio=1.603;volume_spike_ratio=32.15,,2026-08-31T14:38:00Z,10:30
XLAB,4.1572,-0.1912062256809339,a3_prior_spike,peak_to_baseline_ratio=1.527;volume_spike_ratio=26.96,,2026-08-31T14:38:00Z,10:30
AEMD,1.99,-0.1911646586345383,a6_reverse_split_proxy,split_ratio_proxy=52.76,a6,2026-08-31T14:38:00Z,10:30
EDVA,0.263,-0.15106520335700455,a1_spread,spread_pct=0.1551,,2026-08-31T14:38:00Z,10:30
LX,1.01,-0.14406779661016944,a4_earnings_recency,days_since_earnings=0;report_date=2026-08-31,,2026-08-31T14:38:00Z,10:30
VNRX,0.3881,-0.13621188515468502,a5_compliance,financial_status_indicator=CB4;financial_status_description=Noncompliant,a5;a6,2026-08-31T14:38:00Z,10:30
GOVX,0.6243,-0.13411927877947297,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-08-31T14:38:00Z,10:30
CHAI,0.3466,-0.1335,a3_prior_spike,peak_to_baseline_ratio=1.581;volume_spike_ratio=439.22,,2026-08-31T14:38:00Z,10:30
GCL,0.6107,-0.13120722295034215,a1_spread,spread_pct=0.1171,,2026-08-31T14:38:00Z,10:30
TENX,1.865,-0.1267605633802816,a3_prior_spike,peak_to_baseline_ratio=2.601;volume_spike_ratio=1.96,,2026-08-31T14:38:00Z,10:30
ZTEK,0.4789,-0.11851851851851862,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-08-31T14:38:00Z,10:30
BTAI,0.1613,-0.11356119073869904,a2_atr,atr14_pct=0.8053;atr3_pct=1.4891,,2026-08-31T14:38:00Z,10:30
DUO,0.8525,-0.11216413247240159,a3_prior_spike,peak_to_baseline_ratio=1.823;volume_spike_ratio=3471.58,,2026-08-31T14:38:00Z,10:30
AGRZ,0.2146,-0.10583333333333325,a3_prior_spike,peak_to_baseline_ratio=1.936;volume_spike_ratio=241.89,,2026-08-31T14:38:00Z,10:30
NVX,3.145,-0.10398860398860393,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-08-31T14:38:00Z,10:30
ENLV,1.195,-0.10370370370370378,a6_reverse_split_proxy,split_ratio_proxy=22.72,a6,2026-08-31T14:38:00Z,10:30
