timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-14T14:48:00Z,WYHG,5.30,5.30,5.23,4.34,0.05,no_change
2026-09-14T14:48:00Z,BANL,7.51,7.51,7.34,5.60,0.05,no_change
2026-09-14T14:48:00Z,OCGN,1.18,1.18,1.15,1.00,0.05,no_change
2026-09-14T14:48:00Z,FJET,2.33,2.33,2.23,1.89,0.05,no_change
2026-09-14T14:48:00Z,BBOT,6.03,6.03,5.79,4.85,0.05,no_change
2026-09-14T14:48:00Z,CVV,5.19,5.19,4.95,4.5064,0.05,no_change
2026-09-14T14:48:00Z,SGLY,1.86,1.86,1.82,1.42,0.05,no_change
2026-09-14T14:48:00Z,SMR,9.54,9.54,9.1865,8.235,0.05,no_change
2026-09-14T14:48:00Z,TLS,4.38,4.38,4.18,3.94,0.05,no_change
2026-09-14T14:48:00Z,EU,0.893,0.893,0.8783,0.7701,0.05,no_change
2026-09-14T14:48:00Z,WALD,1.16,1.16,1.13,1.0501,0.05,no_change
2026-09-14T14:48:00Z,MKDW,7.24,7.24,6.935,6.5101,0.05,no_change
2026-09-14T14:48:00Z,PCLA,8.14,8.14,7.75,7.75,0.05,no_change
2026-09-14T14:48:00Z,NSLR,8.69,8.69,8.2729,8.2729,0.05,no_change
2026-09-14T14:48:00Z,XRTX,2.10,2.10,2.00,2.00,0.05,no_change
2026-09-14T14:48:00Z,CSHR,5.04,5.04,4.7999,4.7999,0.05,no_change
2026-09-14T14:48:00Z,NOK,10.44,10.44,9.9359,9.9359,0.05,no_change
