symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
PMN,under120,20260721T1937Z,afternoon,14.09,10-120,True,2026-07-21T19:45:00Z,14.485,
PN,under120,20260721T1937Z,afternoon,4,3-10,False,,,
PPBT,under120,20260721T1937Z,afternoon,1.3512,1-3,True,2026-07-21T19:55:00Z,1.3899,
QTI,under120,20260721T1937Z,afternoon,3.02,3-10,False,,3.07,99.35
RXST,under120,20260721T1937Z,afternoon,5.24,3-10,False,,5.275,98.6
SFWL,under120,20260721T1937Z,afternoon,0.7543,<1,False,,,
SJ,under120,20260721T1937Z,afternoon,0.6801,<1,False,,,
SLNG,under120,20260721T1937Z,afternoon,3.63,3-10,False,,3.63,97.84
SST,under120,20260721T1937Z,afternoon,1.66,1-3,True,2026-07-21T19:40:00Z,1.75,
TGL,under120,20260721T1937Z,afternoon,3.55,3-10,False,,3.59,98.9
TTAN,under120,20260721T1937Z,afternoon,73.835,10-120,False,,73.97,98.21
VBIO,under120,20260721T1937Z,afternoon,0.3297,<1,False,,0.3297,97.83
VHC,under120,20260721T1937Z,afternoon,13,10-120,False,,13.0696,98.56
VIVS,under120,20260721T1937Z,afternoon,0.464,<1,False,,0.4641,97.91
VWAV,under120,20260721T1937Z,afternoon,3.6017,3-10,True,2026-07-21T19:55:00Z,3.7,
WFF,under120,20260721T1937Z,afternoon,2.3001,1-3,True,2026-07-21T19:50:00Z,2.3575,
XPOF,under120,20260721T1937Z,afternoon,6.135,3-10,True,2026-07-21T19:45:00Z,6.34,
