symbol,last_price_at_scan,pct_change_at_scan,skip_reason,detail
OFAL,0.0915,-0.18084153983885404,a1_spread,spread_pct=0.167 (>0.08)
BNRG,0.55,-0.17983895019385615,a1_spread,spread_pct=0.0891 (>0.08)
TMDE,0.7967,-0.1537072445294243,a1_spread,spread_pct=0.0889 (>0.08)
TELA,0.6116,-0.11490593342981176,a1_spread,spread_pct=0.2125 (>0.08)
MI,8.38,-0.10278372591006414,a1_spread,spread_pct=0.265 (>0.08)
WBUY,0.7066,-0.1679227508243052,a3_prior_spike,peak_to_baseline_ratio=1.79 volume_spike_ratio=5681 (07-23 spike)
PFSA,1.37,-0.19883040935672508,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
AKAN,6.3,-0.18499353169469609,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
IMCC,0.1,-0.172870140612076,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
XHLD,1.6305,-0.12338709677419356,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
ZYBT,1.52,-0.1213872832369942,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
RCON,0.4183,-0.11170099808876616,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
BANL,4.465,-0.11055776892430275,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
IONZ,4.82,-0.2072368421052631,a6_split_proxy,split_ratio_proxy=27.04 (>15)
NEXR,0.2729,-0.18488649940262847,a6_split_proxy,split_ratio_proxy=396.1 (>15)
WLDS,2.8808,-0.18390934844192636,a6_split_proxy,split_ratio_proxy=34.9 (>15)
VIVK,2.3899,-0.17872852233676984,a6_split_proxy,split_ratio_proxy=2221.4 (>15)
JEM,5.23,-0.1763779527559054,a6_split_proxy,split_ratio_proxy=315.6 (>15)
DCOY,4.185,-0.16964285714285723,a6_split_proxy,split_ratio_proxy=101.5 (>15)
MNDR,1.84,-0.15596330275229361,a6_split_proxy,split_ratio_proxy=25.4 (>15)
JZ,2.215,-0.13137254901960785,a6_split_proxy,split_ratio_proxy=44.4 (>15)
BATL,1.4399,-0.11662576687116562,a6_split_proxy,split_ratio_proxy=20.5 (>15)
RKLZ,4.85,-0.10681399631675877,a6_split_proxy,split_ratio_proxy=43.14 (>15)
MSS,1.645,-0.10597826086956524,a6_split_proxy,split_ratio_proxy=120.7 (>15)
IPCX,9.05,-0.13147792706333966,broker_halt_alert,review_equity_order returned EQUITY_INSTRUMENT_EXTERNAL_HALT for IPCX; skipped out of caution (not an enumerated a1-a6 guardrail)
