symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.38,7.38,7.04,0.05,no change
SOBR,1.26,1.26,0.9102,0.05,no change
ALP,0.27,0.27,0.2048,0.05,no change
VIVS,0.71,0.71,0.587,0.05,no change
ZBAO,0.27,0.27,0.2358,0.05,no change
VCIG,1.22,1.22,1.24,0.05,no change
PLAG,1.03,1.03,0.95,0.05,no change
STFS,11.71,11.71,10.38,0.05,no change
JAGX,1.39,1.39,1.31,0.05,no change
DFNS,0.07,0.07,0.0651,0.05,no change
CYCU,0.41,0.41,0.407,0.05,no change
CSAI,0.39,0.39,0.39,0.05,no change
CETY,1.08,1.08,1.0199,0.05,no change
