symbol,last_price,pct_change,guardrail_failed,detail
SMTK,0.0785,-0.15846994535519124,a1_spread,spread_pct=0.0828 (>0.08)
SNSC,1.7,-0.158423645320197,a1_spread,spread_pct=0.1235 (>0.08)
JFU,2.58,-0.12244897959183669,a1_spread,spread_pct=0.0853 (>0.08)
RITR,0.0707,-0.12004950495049506,a1_spread,spread_pct=0.1245 (>0.08)
LGCL,0.2189,-0.1063301613570542,a1_spread,spread_pct=0.0877 (>0.08)
CTW,2.64,-0.1021897810218979,a1_spread,spread_pct=0.1364 (>0.08)
VBIO,0.1299,-0.22727272727272724,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
UCL,0.3817,-0.21326530612244896,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
DVLT,0.3289,-0.1463666925265063,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
LIMN,0.1138,-0.1292307692307693,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
AKAN,4.25,-0.12551440329218114,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
XCH,0.2214,-0.11084337349397584,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
COSM,0.1781,-0.10406582768635053,a5_compliance,financial_status_indicator=CC4 (Noncompliant)
CDTG,2.75,-0.17629179331306993,a6_split_proxy,split_ratio_proxy=19.36 (>15)
CRCD,3.615,-0.16470588235294123,a6_split_proxy,split_ratio_proxy=20.23 (>15)
YYAI,1.301,-0.1326666666666667,a6_split_proxy,split_ratio_proxy=157819 (>15)
OLOX,2.28,-0.12307692307692318,a6_split_proxy,split_ratio_proxy=71.1 (>15)
SLE,4.85,-0.11818181818181825,a6_split_proxy,split_ratio_proxy=28.87 (>15)
AEHL,5.03,-0.11599297012302287,a6_split_proxy,split_ratio_proxy=161.68 (>15)
ZTG,1.5,-0.2010309278350515,a3_prior_spike,"peak_to_baseline_ratio=4.14, volume_spike_ratio=354.72 (ratio>=2.5)"
SGLY,2.85,-0.18338108882521492,a3_prior_spike,"peak_to_baseline_ratio=2.12, volume_spike_ratio=116.68 (ratio>=1.35 & volspike>=5.0)"
AIXC,1.1,-0.16666666666666663,a3_prior_spike,"peak_to_baseline_ratio=3.81, volume_spike_ratio=2142.35 (ratio>=2.5)"
XOS,3.8,-0.14414414414414425,a3_prior_spike,"peak_to_baseline_ratio=2.41, volume_spike_ratio=1391.75 (ratio>=1.35 & volspike>=5.0)"
WYHG,4.515,-0.1283783783783784,a3_prior_spike,"peak_to_baseline_ratio=7.55, volume_spike_ratio=2051.33 (ratio>=2.5)"
WFF,1.9601,-0.11707207207207217,a3_prior_spike,"peak_to_baseline_ratio=4.93, volume_spike_ratio=6676.22 (ratio>=2.5)"
GNLN,2.7,-0.11475409836065563,a3_prior_spike,"peak_to_baseline_ratio=1.72, volume_spike_ratio=53.71 (ratio>=1.35 & volspike>=5.0)"
LUNL,6.03,-0.11453744493392062,a3_prior_spike,"peak_to_baseline_ratio=2.42, volume_spike_ratio=5.98 (ratio>=1.35 & volspike>=5.0)"
IRIX,0.7699,-0.17223954413503925,a4_earnings_recency,"days_since_earnings=1 (<=3, reported 2026-08-18)"
CNET,1.1502,-0.1665217391304348,a7_liquidity_gap,"ask_gap_pct=0.0525 (>0.03), last_real_price=1.1591"
XTLB,2.8079,-0.13068111455108355,a7_liquidity_gap,"ask_gap_pct=0.0328 (>0.03), last_real_price=2.8079"
