symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
AGMH,0.685,-0.1849,a6_reverse_split_proxy,high_52_weeks=18.10;last_price=0.685;split_ratio_proxy=26.42,a6,2026-09-21T13:36:00Z,9:30
SMTK,1.771,-0.1826,a6_reverse_split_proxy,high_52_weeks=190.00;last_price=1.771;split_ratio_proxy=107.28,a6,2026-09-21T13:36:00Z,9:30
NXXT,0.927,-0.1811,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-21T13:36:00Z,9:30
MSTZ,2.3998,-0.1759,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=(-2x) inverse exposure,a8,2026-09-21T13:36:00Z,9:30
DCX,0.1148,-0.1653,a2_atr,atr_14_pct=127.0%;atr_3_pct=248.5%,,2026-09-21T13:36:00Z,9:30
QNME,0.466,-0.144,a3_prior_spike,peak_to_baseline_ratio=1.68;volume_spike_ratio=111.58,,2026-09-21T13:36:00Z,9:30
LWLX,10.8964,-0.1428,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=200% leveraged exposure,a8,2026-09-21T13:36:00Z,9:30
PECE,10.0,-0.138,a7_thin_liquidity,reason=no_recent_real_trades;window_min=15,,2026-09-21T13:36:00Z,9:30
PMI,4.5,-0.124,a5_compliance,financial_status_indicator=CB4;financial_status_description=Noncompliant,a5;a6,2026-09-21T13:36:00Z,9:30
CRCD,1.6593,-0.1213,a6_reverse_split_proxy,high_52_weeks=73.12;last_price=1.6593;split_ratio_proxy=44.06,a6;a8,2026-09-21T13:36:00Z,9:30
YHGJ,2.85,-0.1193,a1_spread,spread_pct=15.09%;bid=2.51;ask=2.94,,2026-09-21T13:36:00Z,9:30
BMNZ,4.1998,-0.1126,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse exposure,a8,2026-09-21T13:36:00Z,9:30
FEBO,0.63,-0.1114,a1_spread,spread_pct=10.95%;bid=0.61;ask=0.679,,2026-09-21T13:36:00Z,9:30
RMBC,10.0448,-0.109,a7_thin_liquidity,reason=no_recent_real_trades;window_min=15,a8,2026-09-21T13:36:00Z,9:30
OLOX,0.9491,-0.1075,a6_reverse_split_proxy,high_52_weeks=104.90;last_price=0.9491;split_ratio_proxy=110.53,a6,2026-09-21T13:36:00Z,9:30
GIPR,0.646,-0.1007,a3_prior_spike,peak_to_baseline_ratio=1.72;volume_spike_ratio=465.44,,2026-09-21T13:36:00Z,9:30
