timestamp_utc,symbol,quantity,fill_price,limit_sell_price,bracket_last_price,bracket_pct_change,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,industry,firing
2026-08-26T14:45:13Z,NTRP,5,0.985400,1.04,0.9408,-0.22885245901639345,0.03174,0.1498,0.1387,1.0635,1.679,42,CC0,,5.652,-0.0489,Packaged Software,10:30
2026-08-26T14:45:20Z,BAK,3,1.468700,1.55,1.4592,-0.13190184049079748,0.00685,0.1134,0.1185,1.0611,,13,CA0,,3.697,0.0069,Chemicals: Specialty,10:30
2026-08-26T14:45:28Z,AARD,1,6.499900,6.83,6.48,-0.10620689655172408,0.02932,0.1296,0.1386,1.1048,,15,CC0,,2.769,0.0046,Pharmaceuticals: Major,10:30
