symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
TNMG,0.402,-0.163892,a1_spread,spread_pct=0.1241,,2026-09-03T13:37:00Z,9:30
XTLB,2.66,-0.123947,a1_spread,spread_pct=0.1203,,2026-09-03T13:37:00Z,9:30
ELOG,0.6302,-0.106099,a1_spread,spread_pct=0.2818,,2026-09-03T13:37:00Z,9:30
FLX,1.84,-0.102041,a1_spread,spread_pct=0.1033,,2026-09-03T13:37:00Z,9:30
HTOO,2.07,-0.1,a1_spread,spread_pct=0.1691,,2026-09-03T13:37:00Z,9:30
ADBT,1.38,-0.19186,a2_atr_guardrail,atr14_pct=0.594;atr3_pct=1.0506,,2026-09-03T13:37:00Z,9:30
FAMI,0.1284,-0.146569,a2_atr_guardrail,atr14_pct=0.4127;atr3_pct=1.1002,,2026-09-03T13:37:00Z,9:30
FBLG,1.73,-0.112821,a3_prior_spike,ratio=1.907;volume_spike=5.34,,2026-09-03T13:37:00Z,9:30
SSM,4.3,-0.104167,a3_prior_spike,ratio=1.895;volume_spike=525.80,,2026-09-03T13:37:00Z,9:30
SDST,0.1926,-0.211881,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-03T13:37:00Z,9:30
SCNI,2.02,-0.136752,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-03T13:37:00Z,9:30
BRTX,0.1787,-0.114031,a5_compliance_guardrail,financial_status_indicator=CC10;financial_status_description=Noncompliant,a5,2026-09-03T13:37:00Z,9:30
APVO,2.1461,-0.174577,a6_reverse_split_proxy,split_ratio_proxy=22.73,a6,2026-09-03T13:37:00Z,9:30
CRCD,2.125,-0.138211,a6_reverse_split_proxy,split_ratio_proxy=34.41,a6;a8,2026-09-03T13:37:00Z,9:30
AXTX,4.6875,-0.101151,a6_reverse_split_proxy,split_ratio_proxy=16.29,a6;a8,2026-09-03T13:37:00Z,9:30
CIEG,3.57,-0.183066,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure,a8,2026-09-03T13:37:00Z,9:30
CIEX,9.46,-0.178106,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=200% leveraged exposure,a8,2026-09-03T13:37:00Z,9:30
AEHG,5.5,-0.114332,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure,a8,2026-09-03T13:37:00Z,9:30
MSTZ,4.97,-0.106115,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=(-2x) inverse exposure,a8,2026-09-03T13:37:00Z,9:30
AXTL,1.81,-0.10396,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure,a8,2026-09-03T13:37:00Z,9:30
VACI,8.1721,-0.190935,a7_thin_liquidity_stale_quote,ask_gap_pct=0.0479;last_real_price=8.245;reason=gap_exceeded,,2026-09-03T13:37:00Z,9:30
ANVS,1.5,-0.117647,a7_thin_liquidity_stale_quote,ask_gap_pct=0.0347;last_real_price=1.44;reason=gap_exceeded,,2026-09-03T13:37:00Z,9:30
