timestamp_utc,symbol,firing,last_price,pct_change,quantity,avg_fill_price,limit_sell_price,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,industry,description_leverage_check,ask_gap_pct,fundamentals_guardrails_failed
2026-09-03T14:45:08Z,ANVS,10:30,1.44,-0.15,3,1.4499,1.53,0.0069,0.0632,0.0526,1.048,1.32,20,CA0,,3.819,Pharmaceuticals: Major,pass,0.00346,
2026-09-03T14:45:09Z,VACI,10:30,8.51,-0.1362,1,8.4861,8.92,0.03996,0.0443,0.1358,1.249,2.19,none,CA0,,1.497,Financial Conglomerates,pass,0.02703,
