symbol,last_price_at_scan,pct_change_at_scan,skip_reason,detail
WCT,0.6801,-0.22715909090909087,a1_spread,spread_pct=0.2338 (>0.08)
LEE,7.18,-0.13727959697733005,a1_spread,spread_pct=0.0822 (>0.08)
CCHH,1.32,-0.13442622950819663,a1_spread,spread_pct=0.1212 (>0.08)
RMSG,0.3277,-0.13192052980132454,a1_spread,spread_pct=0.1587 (>0.08)
RYOJ,4.3501,-0.12823647294589177,a1_spread,spread_pct=0.0988 (>0.08)
DXF,0.3902,-0.1141884222474461,a1_spread,spread_pct=0.0964 (>0.08)
DCX,0.8001,-0.11297117516629711,a1_spread,spread_pct=0.19998 (>0.08)
TNMG,0.345,-0.11288248907174094,a1_spread,spread_pct=0.0846 (>0.08)
INLF,4.24,-0.19999999999999993,a2_atr,atr_14_pct=5.138 (>0.80)
SXTC,0.0476,-0.17361111111111102,a2_atr,atr_14_pct=7.696 atr_3_pct=6.866 (>0.80)
LBGJ,0.026,-0.13333333333333333,a2_atr,atr_14_pct=10.297 atr_3_pct=4.215 (>0.80)
ZCMD,1.0199,-0.12829059829059822,a2_atr,atr_14_pct=2.359 atr_3_pct=1.253 (>0.80)
CISS,0.1501,-0.10119760479041914,a2_atr,atr_14_pct=1.601 atr_3_pct=1.961 (>0.80)
BIYA,5.4,-0.16149068322981366,a3_prior_spike,peak_to_baseline_ratio=1.836 volume_spike_ratio=48.58 (both thresholds tripped)
ONFO,0.0984,-0.14285714285714285,a3_prior_spike,peak_to_baseline_ratio=1.556 volume_spike_ratio=532.69 (both thresholds tripped)
FVRR,9.057,-0.21855047454702325,a4_earnings_recency,"reported earnings today 2026-07-29 am, days_since_earnings=0"
OI,7.345,-0.18929359823399566,a4_earnings_recency,"reported earnings 2026-07-28 pm, days_since_earnings=1"
CLVT,2.01,-0.16250000000000006,a4_earnings_recency,"reported earnings today 2026-07-29 am, days_since_earnings=0"
CSAI,0.2101,-0.14939271255060724,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
VSEE,0.0763,-0.14269662921348303,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
ZONE,0.5293,-0.24385714285714283,a6_split_proxy,split_ratio_proxy=15.73 (>15)
SLXN,1.96,-0.20000000000000007,a6_split_proxy,split_ratio_proxy=111.5 (>15)
RDGT,0.985,-0.15086206896551718,a6_split_proxy,split_ratio_proxy=760.6 (>15)
PWCM,1.75,-0.10714285714285712,a6_split_proxy,split_ratio_proxy=38.7 (>15)
AUC,6.5,-0.12751677852348994,broker_halt_alert,review_equity_order returned EQUITY_INSTRUMENT_EXTERNAL_HALT for AUC; skipped out of caution (not an enumerated a1-a6 guardrail)
