symbol,quantity,avg_fill_price,sell_target,bracket_last_price,bracket_pct_change,spread_pct,atr14_pct,atr3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,industry,ask_gap_pct,firing
HCAI,1,3.2699,3.44,3.12,-0.2404761904761905,3.21,10.11,9.83,1.07,115.02,no_data,CC0,,9.04,Industrial Machinery,0.63,10:30
BBOT,1,5.7399,6.03,5.71,-0.154700222057735,0.53,10.53,19.01,1.06,4.23,30,CC0,,2.61,Biotechnology,-0.87,10:30
BENF,3,1.4387,1.52,1.435,-0.14583333333333326,2.79,12.8,21.7,1.04,5.35,27,CC0,,8.7,Investment Managers,0.35,10:30
