symbol,old_target,new_target,peak_price,decay_pct,reason
AAOG,3.2100,3.2100,3.0901,0.05,no change - target already reflects current decay bracket
AEHG,8.9200,8.9200,8.5000,0.05,no change - target already reflects current decay bracket
AMPG,6.0500,6.0500,5.7600,0.05,no change - target already reflects current decay bracket
ATER,0.5040,0.5040,0.4825,0.05,no change - target already reflects current decay bracket
AXTU,3.2400,3.2400,3.1477,0.05,no change - target already reflects current decay bracket
AXTX,6.0700,6.0700,5.9421,0.05,no change - target already reflects current decay bracket
BAOS,1.7300,1.7300,1.6100,0.05,no change - target already reflects current decay bracket
BCAR,9.5500,9.5500,8.6100,0.05,no change - target already reflects current decay bracket
CBRG,4.7900,4.7900,4.5500,0.05,no change - target already reflects current decay bracket
CDXS,1.5900,1.5900,1.5700,0.05,no change - target already reflects current decay bracket
CETY,1.0800,1.0800,0.9898,0.05,no change - target already reflects current decay bracket
COHH,7.8400,7.8400,7.2543,0.05,no change - target already reflects current decay bracket
CRWU,3.5400,3.5400,3.3350,0.05,no change - target already reflects current decay bracket
CSAI,0.3890,0.3890,0.3900,0.05,no change - target already reflects current decay bracket
EXYN,,3.1900,3.2500,0.05,no change - target already reflects current decay bracket
FRGT,3.4100,3.4100,3.2000,0.05,no change - target already reflects current decay bracket
GLXU,6.9000,6.9000,6.4800,0.05,no change - target already reflects current decay bracket
GVH,2.2700,2.2700,2.0900,0.05,no change - target already reflects current decay bracket
HYLN,4.0500,4.0500,3.9300,0.05,no change - target already reflects current decay bracket
IRAB,10.4800,10.4800,,0.05,no change - target already reflects current decay bracket
IREG,9.0500,9.0500,9.0000,0.05,no change - target already reflects current decay bracket
JAGX,1.1100,1.1100,1.0800,0.05,no change - target already reflects current decay bracket
KEEL,4.7600,4.7600,4.5266,0.05,no change - target already reflects current decay bracket
KSCP,1.6500,1.6500,1.5974,0.05,no change - target already reflects current decay bracket
MODD,3.1000,3.1000,2.8500,0.05,no change - target already reflects current decay bracket
MPG,3.5500,3.5500,3.3700,0.05,no change - target already reflects current decay bracket
ODYS,5.1000,5.1000,4.8000,0.05,no change - target already reflects current decay bracket
PLU,9.1700,9.1700,8.7500,0.05,no change - target already reflects current decay bracket
POEL,9.6300,9.6300,9.1490,0.05,no change - target already reflects current decay bracket
POM,1.1700,1.1700,1.1300,0.05,no change - target already reflects current decay bracket
QMLS,12.6100,12.6100,11.9999,0.05,no change - target already reflects current decay bracket
REPL,9.1300,9.1300,8.6828,0.05,no change - target already reflects current decay bracket
SKHL,10.1000,10.1000,9.7100,0.05,no change - target already reflects current decay bracket
SKYQ,4.1000,4.1000,3.9000,0.05,no change - target already reflects current decay bracket
SNDC,9.4300,9.4300,9.0000,0.05,no change - target already reflects current decay bracket
SPAX,6.9700,6.9700,6.7200,0.05,no change - target already reflects current decay bracket
SPCH,6.9200,6.9200,6.6600,0.05,no change - target already reflects current decay bracket
SPCU,9.2100,9.2100,8.8900,0.05,no change - target already reflects current decay bracket
STFS,11.7100,11.7100,10.3800,0.05,no change - target already reflects current decay bracket
TAOX,3.6100,3.6100,3.5500,0.05,no change - target already reflects current decay bracket
TPET,0.2840,0.2840,0.2672,0.05,no change - target already reflects current decay bracket
TSLA,341.9500,341.9500,326.3400,0.05,no change - target already reflects current decay bracket
VCIG,1.2200,1.2200,1.2400,0.05,no change - target already reflects current decay bracket
VIVS,0.6570,0.6570,0.6700,0.05,no change - target already reflects current decay bracket
XHG,1.1000,1.1000,1.0100,0.05,no change - target already reflects current decay bracket
