symbol,side,quantity,avg_fill_price,limit_sell_price,order_id_buy,order_id_sell,last_price_at_scan,pct_change_at_scan,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,last_real_price,timestamp
FTHM,buy,7,0.7261,0.77,6a733e79-2a4a-40c7-8b9b-22fdb91745b9,6a733e8f-171d-477e-afe9-6249b701f2e2,0.7024,-0.1894,0.0548,0.1250,0.1118,1.0467,4.045,20,CC0,"",4.798,0.00154,0.7136,2026-08-05T13:45:29Z
BANL,buy,1,3.9361,4.14,6a733e82-fe93-42b7-bd78-35ea24249c6c,6a733e90-78de-49f5-a7e8-b153444f0a54,3.97,-0.1271,0.04786,0.1518,0.1194,1.1022,65.42,,CC0,"",3.201,0.01013,3.95,2026-08-05T13:45:38Z
