symbol,name,last_price,pct_change,market_cap,volume
CISS,C3is Inc,0.1165,-0.7760046144972121,777671,1.36950044269e+07
CAPR,Capricor,6.615,-0.6642131979695431,1.140285173e+09,1.1685949767984e+07
STAK,STAK Inc.,3.17,-0.6580366774541532,1.77983883e+08,4.948543121183e+06
YYAI,AiRWA Inc.,3.91,-0.6547461368653421,1.2068541e+07,289300.039289
MPLT,MapLight Therapeutics,13.595,-0.6281455142231948,1.657837914e+09,2.864115715728e+06
OMH,Ohmyhome Limited Class A,0.1915,-0.6195868096940802,1.1439679e+07,5.7629343081701e+07
WETO,Wetour Robotics,0.0581,-0.4241823587710605,7.71552e+06,1.5343020947153e+07
PFSA,Profusa,1.09,-0.3625730994152046,906300,5.350821462868e+06
VTIX,Virtuix Holdings Inc. Class A,1.7799,-0.32579545454545455,8.7410055e+07,1.1119236882644e+07
DBGI,Digital Brands Group,9.3875,-0.27228682170542645,7.441504e+06,66224.511778
VIVK,Vivakor,2.21,-0.24054982817869422,1.941552e+06,2.652594187444e+06
NEXR,Nexera Technologies,0.2556,-0.23655913978494622,2.053027e+06,419577.491735
BCAR,D. Boral ARC Acquisition I Corp. Class A,7.95,-0.23188405797101444,4.27244e+08,179242.865485
DCOY,Decoy Therapeutics,3.96,-0.2142857142857143,2.606696e+06,981462.051245
SKYQ,Sky Quarry,3.7,-0.2127659574468085,2.2510862e+07,1.98912583837e+06
OTLK,Outlook Therapeutics,1.115,-0.20640569395017797,2.62730782e+08,2.2272089169348e+07
MNDR,Mobile-health Network Solutions,1.78,-0.18348623853211013,2.604092e+06,187261.270734
CPHI,China Pharma Holdings,1.245,-0.1809210526315789,6.1593443e+07,583871.347912
ZYBT,Zhengye Biotechnology Holding,1.43,-0.17341040462427748,8.0091425e+07,382599.187625
AKAN,Akanda,6.41,-0.17076326002587325,4.1807e+06,146168.893836
HXHX,Haoxin Holdings Limited Class A,0.4147,-0.16960352422907488,6.85575e+06,32007.868674
NIXX,"Nixxy, Inc",0.7053,-0.167787610619469,2.388392e+07,866767.278342
OFAL,OFA Group Class A,0.0938,-0.1602506714413608,2.846697e+06,396520.4029
INDP,Indaptus Therapeutics,2.2025,-0.15613026819923362,3.54424581e+08,81810.745885
LBGJ,Li Bang International Corporation Class A,0.0261,-0.15533980582524268,99744,7.6561178525569e+07
BAOS,Baosheng Media Group,0.9899,-0.15393162393162388,1.795349e+06,71557
BRLS,Borealis Foods Inc,0.792,-0.15294117647058825,2.0068191e+07,10025.929126
JZ,Jianzhi Education Technology Group,2.16,-0.1529411764705881,6.141197e+06,43382.801766
BNRG,Brenmiller Energy,0.5686,-0.15210259469132117,1.551353e+06,1.049356315072e+06
BXBL,"BOXABL, Inc.",4.165,-0.15173116089613037,1.730314362e+09,261121.185309
GRNQ,Greenpro Capital,1.0611,-0.15023624569552335,2.2636012e+07,2095.65
RCON,Recon Technology,0.4002,-0.15013803355277125,4.2676454e+07,308838.740918
BRUN,Boost Run Inc.,18.52,-0.1481140754369825,1.334230798e+09,667150.120133
IMCC,IM Cannabis,0.1035,-0.14392059553349876,1.045918e+06,2.085575759936e+06
AIAI,AIAI Holdings Corporation,5.37,-0.13942307692307693,4.39462437e+08,45230.364189
TMDE,TMD Energy Limited,0.8103,-0.13926067558954747,2.2184091e+07,183814.623462
CNXU,Conexeu Sciences,7.4,-0.1365227537922987,2.30121638e+08,53712.807753
AXR,AMREP,22.02,-0.1334120425029516,1.34805106e+08,14964.959429
LEGN,Legend Biotech,19.27,-0.13276327632763274,4.298232167e+09,3.883882165752e+06
REPL,Replimune,8.47,-0.1268041237113401,8.13848335e+08,3.194873063797e+06
JEM,707 Cayman Holdings Limited,5.555,-0.1251968503937008,4.280537e+06,314049.032658
QH,Quhuo Ltd.,4.71,-0.1245353159851301,4.73934944516e+11,9686.225699
ZCMD,Zhongchao,1.2286,-0.12242857142857143,1.596263e+06,2.861223767485e+06
LSTA,Lisata Therapeutics,1.4656,-0.12239520958083827,1.5207672e+07,52749.379245
RAY,Raytech Holding,2.8,-0.12225705329153609,1.874043e+07,3804.69723
MXL,MaxLinear,62.9,-0.12138566838943993,6.492725543e+09,2.594182329742e+06
AIBZ,Bitzero Holdings Inc.,5.265,-0.12103505843071795,3.34780366e+08,304917.20294
WLDS,Wearable Devices,3.105,-0.1203966005665722,7.772614e+06,692383.454407
VCIG,VCI Global,0.4534,-0.11944066809089143,4.704665e+06,393794.873046
ZBAO,Zhibao Technology,0.1713,-0.11564274651522975,6.597749e+06,1.50262726037e+06
TELA,TELA Bio,0.6116,-0.11490593342981176,3.1336302e+07,13560.766708
YOUL,Youlife Group,0.5302,-0.114710302220738,4.8520667e+07,267552.376819
RITR,Reitar Logtech Holdings,0.0944,-0.1136150234741784,6.650259e+06,654370
BATL,Battalion Oil,1.4506,-0.11006134969325154,3.5890723e+07,6.407896423816e+06
FLYE,Fly-E Group,1.64,-0.10869565217391314,2.873162e+06,11619.474
TPET,Trio Petroleum,0.2625,-0.10805300713557592,1.3027976e+07,1.52921194103e+06
FFAI,Faraday Future Intelligent Electric,5.8,-0.10631741140215722,1.5749477e+07,418537.067528
WBUY,WEBUY GLOBAL LTD.,0.7597,-0.10539331135186047,4.654552e+06,478553.8565
FAMI,Farmmi,0.1727,-0.10425311203319505,6.92602e+06,389799.3794
LEDS,SemiLEDS,1.93,-0.10232558139534884,1.7622348e+07,80087.46192
XHLD,"TEN Holdings, Inc.",1.6701,-0.10209677419354848,2.2038495e+07,41866.387311
GDTC,CytoMed Therapeutics,0.89,-0.101010101010101,1.1714506e+07,92730.88895
ICHR,Ichor Holdings,77.88,-0.10017331022530332,3.018963784e+09,239445.292576
VIVS,VivoSim Labs,0.3779,-0.09787538792074477,1.463666e+06,587778.267699
AEON,AEON Biopharma,0.2262,-0.09772636617471069,1.1070613e+07,280723.400507
VNRX,VolitionRx,0.9038,-0.09619999999999995,1.2044339e+07,80328.26739
AMKR,Amkor Technology,58.735,-0.09582820197044327,1.6101798769e+10,2.486687370921e+06
PLUR,Pluri,1.61,-0.09550561797752805,1.8881705e+07,12888.104
VWAV,VisionWave Holdings,2.6779,-0.09530405405405398,8.1367103e+07,138152.736968
AIFC,AI Financial Corp.,0.3924,-0.09418282548476442,6.0577176e+07,1.44952061931e+06
PROP,Prairie Operating Co.,0.7251,-0.0936250000000001,7.828347e+07,436908.537093
VIVO,VivoPower PLC Class A,3.88,-0.09133489461358307,1.31499079e+08,188423.335619
VIP,Vulcan Infrastructure and Power Inc.,2.2275,-0.09081632653061229,4.4428157e+07,185940.33295
RCT,RedCloud Holdings plc,0.1943,-0.09078146934955546,1.2418535e+07,357744.29835
CEPL,Capstone Energy Plus,8.675,-0.09067085953878391,3.06331615e+08,212826.627418
SLBT,SL Science Holding,2.8399,-0.08977564102564103,1.77480463e+09,70259.162125
SHAZ,SharonAI Holdings,59.1108,-0.0890614886731392,2.297432201e+09,474529.766346
UCTT,Ultra Clean,84.49,-0.08905660377358496,4.157829648e+09,295002.308944
KUST,Kustom Entertainment,1.23,-0.08888888888888896,827455,225410.73463
DRIO,DarioHealth,7.1,-0.08857509627727861,5.3453629e+07,2649
IPCX,Inflection Point Acquisition Corp. III Class A,9.5,-0.08829174664107485,3.59212129e+08,21291.755088
SCAG,Scage Future,0.311,-0.08770900557348191,2.4752634e+07,139137
VECO,Veeco,47.155,-0.08720480061943468,3.152989835e+09,250414.81032
TC,Token Cat Limited,2.1,-0.08695652173913032,6.0772774e+07,160247.088911
VBIO,Valion Bio,0.272,-0.08417508417508407,947187,103858.346223
BIOX,Bioceres Crop Solutions,0.3143,-0.0836734693877551,2.188885e+07,25323.895737
LGO,Largo,0.5685,-0.08336020638503704,6.4746057e+07,647375.398854
NXTS,Nexentis Technologies,1.65,-0.08333333333333341,2.572399e+06,11152.285906
GSIW,Garden Stage Limited,25.58,-0.0831541218637993,3.9406741e+07,1411.020333
FCUV,Focus Universal,2.1,-0.08296943231441045,1.609437e+06,9394.7013
AIDX,20/20 Biolabs,0.4503,-0.0828920570264766,6.015338e+06,77811.6878
GRML,Greenland Mines Ltd.,0.1767,-0.08255451713395638,2.917257e+07,1.530719717587e+06
BANL,CBL International,4.61,-0.08167330677290822,1.0598146e+07,6489.307692
MDCX,Medicus Pharma Ltd.,0.3401,-0.08081081081081076,2.0969186e+07,1.852801130553e+06
ULH,Universal Logistics,14.505,-0.08079847908745239,4.14267845e+08,13150.566318
SOC,Sable Offshore,4.33,-0.08067940552016983,9.02909694e+08,1.690461641113e+06
ACMR,ACM Research,77.55,-0.0802893738140417,5.827311943e+09,217183.886901
ANPA,Rich Sparkle Holdings Limited,3.93,-0.0796252927400467,6.040702e+07,22052.963294
EROC,"ERock, Inc.",10.08,-0.07945205479452049,5.27505551e+08,239147.658025
RXO,RXO,23.61,-0.07881388997268825,4.226907596e+09,640351.391328
NTCL,NetClass Technology,3.04,-0.07878787878787873,4.418174e+06,12314.047703
FBLG,"FibroBiologics, Inc",0.656,-0.07865168539325834,4.342431e+06,71680.741047
CORZ,Core Scientific,20.97,-0.07824175824175829,7.231890393e+09,2.286512474579e+06
ANNA,AleAnna,3.0699,-0.0781081081081081,1.3563422e+08,188512.036053
VSH,Vishay,35.2316,-0.07794818110442293,5.860569711e+09,1.120870432211e+06
ADVB,Advanced Biomed,17.5037,-0.07778187565858809,3.1357484e+07,283783.389765
PASW,"Ping An Biomedical Co., Ltd.",0.1144,-0.07741935483870965,1.54442e+07,184950
CIFR,Cipher Digital,21.37,-0.07688984881209493,9.46948891e+09,6.541088462615e+06
