symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.38,7.38,7.060,0.05,no change
SOBR,1.26,1.26,1.215,0.05,no change
ALP,0.27,0.263,0.2578,0.05,decay
VIVS,0.71,0.704,0.670,0.05,decay
ZBAO,0.27,0.263,0.2577,0.05,decay
VCIG,1.22,1.22,1.240,0.05,no change
PLAG,1.03,1.03,1.010,0.05,no change
STFS,11.71,11.71,10.380,0.05,no change
CYCU,0.41,0.410,0.4070,0.05,no change
CSAI,0.39,0.389,0.390,0.05,decay
CETY,1.08,1.08,0.955,0.05,no change
POM,1.17,1.17,1.130,0.05,no change
FRGT,4.02,4.02,3.930,0.05,no change
DFNS,7.98,7.98,8.1375,0.05,no change
GVH,2.27,2.27,2.090,0.05,no change
MSS,0.483,0.483,0.4796,0.05,no change
BIVI,1.51,1.51,1.460,0.05,no change
GLXG,0.97,0.966,0.9195,0.05,decay
QMLS,12.60,12.60,11.9999,0.05,no change
LITZ,16.94,16.94,16.535,0.05,no change
TEMT,17.80,17.80,16.575,0.05,no change
AMPG,6.00,6.00,5.750,0.05,no change
