symbol,old_target,new_target,peak_price,decay_pct,reason
AAOG,3.11,3.12,3.0901,0.02,decay
AEHG,8.66,8.66,8.5,0.02,decay
ALOY,7.2,7.21,7.0899,0.02,decay
AMPG,5.88,5.88,5.76,0.02,decay
ATER,0.49,0.49,0.4825,0.02,decay
AXTU,3.14,3.15,3.1477,0.02,decay
AXTX,5.9,5.9,5.9421,0.02,decay
BAOS,1.67,1.68,1.61,0.02,decay
CBRG,4.65,4.66,4.55,0.02,decay
CDXS,1.54,1.55,1.57,0.02,decay
CETY,1.08,1.05,0.9898,0.02,decay
COHH,7.61,7.61,7.2543,0.02,decay
COIA,7.33,7.34,7.401,0.02,decay
CRWU,3.44,3.44,3.335,0.02,decay
CSAI,0.377,0.383,0.39,0.02,trailing
EHGO,2.24,2.25,2.19,0.02,decay
EXYN,3.19,3.19,3.25,0.02,trailing
FRGT,3.3,3.31,3.2,0.02,decay
GLXU,6.7,6.71,6.48,0.02,decay
GVH,2.2,2.21,2.09,0.02,decay
HYLN,3.93,3.93,3.89,0.02,decay
IRAB,10.18,10.18,9.98,0.02,"decay (no post-fill bars found, using avg_buy_price as peak)"
IREG,8.78,8.82,9.0,0.02,trailing
JAGX,1.07,1.08,1.08,0.02,decay
KEEL,4.62,4.63,4.5266,0.02,decay
KSCP,1.6,1.61,1.5974,0.02,decay
MODD,3.01,3.01,2.85,0.02,decay
MPG,3.45,3.45,3.37,0.02,decay
ODYS,4.95,4.95,4.8,0.02,decay
OSSL,8.85,8.86,8.68,0.02,"decay (no post-fill bars found, using avg_buy_price as peak)"
PLU,8.9,8.91,8.6,0.02,decay
POEL,9.35,9.36,9.149,0.02,decay
POM,1.17,1.14,1.13,0.02,decay
QMLS,12.6,12.24,11.9999,0.02,decay
RDWU,4.96,4.96,5.02,0.02,decay
SKHL,9.8,9.81,9.71,0.02,decay
SNDC,9.16,9.16,9.0,0.02,decay
SPAX,6.76,6.77,6.655,0.02,decay
SPCH,6.72,6.73,6.66,0.02,decay
SPCU,8.95,8.95,8.81,0.02,decay
STFS,11.37,11.38,10.38,0.02,decay
TAOX,3.5,3.5,3.5,0.02,decay
TOPP,0.622,0.623,0.6127,0.02,decay
TSLA,341.95,332.18,326.34,0.02,decay
VCIG,1.22,1.22,1.24,0.02,trailing
VIVS,0.665,0.657,0.67,0.02,trailing
XHG,1.06,1.07,0.9812,0.02,decay
