symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.38,7.31,7.04,0.04,decay
SOBR,1.26,1.25,1.215,0.04,decay
ALP,0.265,0.26,0.2578,0.04,no change
VIVS,0.705,0.70,0.67,0.04,no change
ZBAO,0.27,0.26,0.2577,0.04,decay
VCIG,1.22,1.22,1.24,0.04,no change
PLAG,1.03,1.02,1.01,0.04,decay
STFS,11.71,11.60,10.38,0.04,decay
JAGX,1.39,1.38,1.3475,0.04,decay
DFNS,0.07,0.07,0.0651,0.04,no change
CYCU,0.414,0.41,0.407,0.04,no change
CSAI,0.388,0.39,0.39,0.04,no change
CETY,1.08,1.07,0.9501,0.04,decay
