symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.17,7.38,7.04,0.05,decay
SOBR,1.35,1.26,0.9102,0.05,decay
ALP,0.27,0.27,0.1949,0.05,no change
VIVS,0.70,0.71,0.5705,0.05,decay
ZBAO,0.26,0.27,0.2358,0.05,decay
VCIG,1.43,1.22,1.24,0.05,trailing
GORO,1.30,1.04,0.9999,0.05,decay
PLAG,1.78,1.03,0.9275,0.05,decay
STFS,16.17,11.71,9.78,0.05,decay
JAGX,1.94,1.39,1.31,0.05,decay
DFNS,0.07,0.07,0.0651,0.05,no change
LASE,0.87,0.96,0.97,0.05,trailing
RGNX,9.25,9.26,9.01,0.05,decay
CYCU,0.42,0.41,0.403,0.05,decay
CSAI,0.39,0.39,0.3825,0.05,no change
CETY,1.08,1.08,1.01,0.05,no change
VMAR,0.88,0.89,0.87,0.05,trailing
