timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
20260918T1541Z,BAK,1.89,1.89,1.8399,1.7,0.05,no_change_decay_dominant
20260918T1541Z,RADX,1.91,1.91,1.91,1.5,0.05,no_change_decay_dominant
20260918T1541Z,MRLN,2.51,2.51,2.4,1.8101,0.05,no_change_decay_dominant
20260918T1541Z,TNON,4.77,4.77,4.65,3.8,0.05,no_change_decay_dominant
20260918T1541Z,NUWE,0.977,0.977,0.97,0.8802,0.05,no_change_decay_dominant;a2_cleared_peak_0.97_vs_floor_0.92907
20260918T1541Z,AEI,0.897,0.893,0.8436,0.83,0.05,target_replaced_decay_recompute_vs_position_avg_buy_price
20260918T1541Z,RTB,8.17,8.16,7.815,7.7,0.05,target_replaced_decay_recompute_vs_position_avg_buy_price
