symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.17,7.38,7.06,0.05,"decay(trailing invalid, peak<avg_cost)"
VIVS,0.657,0.665,0.6785,0.05,trailing(peak since 07-16 entry)
VCIG,1.22,1.22,1.24,0.05,"trailing(unchanged, within tolerance)"
STFS,11.38,11.71,10.38,0.05,"decay(trailing invalid, peak<avg_cost)"
JAGX,1.08,1.1,1.08,0.05,"decay(target ~1.11, filled near-match)"
CSAI,0.383,0.389,0.39,0.05,decay(target ~0.388)
CETY,1.05,1.07,1.0199,0.05,"decay(trailing invalid, target ~1.08)"
POM,1.14,1.17,1.13,0.05,decay(trailing valid but lower)
FRGT,3.31,3.4,3.205,0.05,"decay(trailing invalid, target ~3.41)"
GVH,2.21,2.27,2.2099,0.05,decay(trailing valid but lower)
QMLS,12.24,12.6,11.9999,0.05,"decay(trailing invalid, peak=avg_cost)"
CISS,1.35,1.39,1.34,0.05,decay(trailing valid but lower)
SSTK,6.0,6.17,5.9,0.05,"decay(target ~6.18, trailing invalid)"
TSLA,,341.94,326.34,0.05,"decay(first resting order placed, none existed)"
ZVRA,,10.08,9.5999,0.05,"decay(new position, initial resting order)"
CDXS,,1.59,1.5094,0.05,"decay(new position, initial resting order)"
EHGO,,2.31,2.1938,0.05,"decay(new position, initial resting order)"
ATER,,0.504,0.48,0.05,"decay(new position, initial resting order)"
CBRG,,4.79,4.5572,0.05,"decay(new position, initial resting order)"
IRAB,,10.48,9.98,0.05,"decay(new position, initial resting order)"
CRWU,,3.54,3.37,0.05,"decay(new position, initial resting order)"
SKHL,,10.1,9.6099,0.05,"decay(new position, initial resting order)"
AEHG,,8.92,8.4861,0.05,"decay(new position, initial resting order)"
AXTU,,3.24,3.0788,0.05,"decay(new position, initial resting order)"
AXTX,,6.07,5.7762,0.05,"decay(new position, initial resting order)"
TOPP,,0.641,0.61,0.05,"decay(new position, initial resting order)"
AAOG,,3.21,3.05,0.05,"decay(new position, initial resting order)"
COHH,,7.84,7.4572,0.05,"decay(new position, initial resting order)"
KSCP,,1.65,1.5699,0.05,"decay(new position, initial resting order)"
ODYS,,5.1,4.8499,0.05,"decay(new position, initial resting order)"
EXYN,,3.13,2.9749,0.05,"decay(new position, initial resting order)"
BAOS,,1.73,1.6399,0.05,"decay(new position, initial resting order)"
AMPG,,6.05,5.7599,0.05,"decay(new position, initial resting order)"
XHG,,1.1,1.04,0.05,"decay(new position, initial resting order)"
GLXU,,6.9,6.57,0.05,"decay(new position, initial resting order)"
IREG,,9.04,8.605,0.05,"decay(new position, initial resting order)"
TAOX,,3.61,3.4299,0.05,"decay(new position, initial resting order)"
AMIX,,3.24,3.0808,0.05,"decay(new position, initial resting order)"
MODD,,3.1,2.9499,0.05,"decay(new position, initial resting order)"
SNDC,,9.43,8.9774,0.05,"decay(new position, initial resting order)"
COIA,,7.56,7.1949,0.05,"decay(new position, initial resting order)"
SPCH,,6.92,6.5899,0.05,"decay(new position, initial resting order)"
ONDL,,7.4,7.0448,0.05,"decay(new position, initial resting order)"
OSSL,,9.12,8.6799,0.05,"decay(new position, initial resting order)"
POEL,,9.63,9.1699,0.05,"decay(new position, initial resting order)"
KEEL,,4.76,4.53,0.05,"decay(new position, initial resting order)"
HYLN,,4.05,3.8492,0.05,"decay(new position, initial resting order)"
SPAX,,6.97,6.63,0.05,"decay(new position, initial resting order)"
SPCU,,9.21,8.7651,0.05,"decay(new position, initial resting order)"
ALOY,,7.42,7.0599,0.05,"decay(new position, initial resting order)"
ONDG,,2.79,2.6499,0.05,"decay(new position, initial resting order)"
PLU,,9.17,8.7267,0.05,"decay(new position, initial resting order)"
CONL,,4.93,4.6893,0.05,"decay(new position, initial resting order)"
MPG,,3.56,3.3848,0.05,"decay(new position, initial resting order)"
RDWU,,5.11,4.86,0.05,"decay(new position, initial resting order)"
