symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
FAMI,0.117,-0.2125,a2_atr_guardrail,atr_14_pct=0.4527;atr_3_pct=1.2074,,2026-09-03T14:44:00Z,10:30
WETO,3.1587,-0.2061,a2_atr_guardrail,atr_14_pct=2.592;atr_3_pct=1.594,,2026-09-03T14:44:00Z,10:30
NWGL,0.97,-0.2165,a3_prior_spike,ratio=3.372;volume_spike=10.59,,2026-09-03T14:44:00Z,10:30
VIOT,1.50,-0.1629,a3_prior_spike,ratio=2.628;volume_spike=985.72,,2026-09-03T14:44:00Z,10:30
RNXT,2.1212,-0.1548,a3_prior_spike,ratio=2.056;volume_spike=5.01,,2026-09-03T14:44:00Z,10:30
GYGY,1.50,-0.1387,a3_prior_spike,ratio=1.873;volume_spike=465.00,,2026-09-03T14:44:00Z,10:30
SSM,4.1201,-0.1354,a3_prior_spike,ratio=2.132;volume_spike=525.80,,2026-09-03T14:44:00Z,10:30
SCNI,2.08,-0.1111,a3_prior_spike,ratio=1.472;volume_spike=169.10,,2026-09-03T14:44:00Z,10:30
SVRN,9.34,-0.1002,a3_prior_spike,ratio=1.573;volume_spike=10.96,,2026-09-03T14:44:00Z,10:30
SDST,0.192,-0.2364,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant;check=i_and_ii,a5;a6,2026-09-03T14:45:00Z,10:30
APVO,2.0777,-0.2009,a6_reverse_split_proxy,split_ratio_proxy=23.48,a6,2026-09-03T14:45:00Z,10:30
BRTX,0.1695,-0.1596,a5_compliance,financial_status_indicator=CC10;financial_status_description=Noncompliant;check=i_and_ii,a5,2026-09-03T14:45:00Z,10:30
CDT,0.7901,-0.1265,a6_reverse_split_proxy,split_ratio_proxy=3441.0,a6,2026-09-03T14:45:00Z,10:30
XRTX,2.1718,-0.1243,a7_thin_liquidity,no_recent_real_trades,,2026-09-03T14:45:00Z,10:30
JBDI,1.22,-0.1029,a7_thin_liquidity,no_recent_real_trades,,2026-09-03T14:45:00Z,10:30
CIEG,3.37,-0.2337,a8_leveraged_inverse_etf,check=i_industry;industry=Investment Trusts Or Mutual Funds;description=2x leveraged exposure,a8,2026-09-03T14:45:00Z,10:30
CIEX,8.83,-0.2328,a8_leveraged_inverse_etf,check=i_industry;industry=Investment Trusts Or Mutual Funds;description=200% leveraged exposure,a8,2026-09-03T14:45:00Z,10:30
BMNZ,5.35,-0.2155,a8_leveraged_inverse_etf,check=i_industry;industry=Investment Trusts Or Mutual Funds;description=2x inverse exposure,a8,2026-09-03T14:45:00Z,10:30
MSTZ,4.41,-0.2068,a8_leveraged_inverse_etf,check=i_and_ii;industry=Investment Trusts Or Mutual Funds;description=-2x inverse exposure daily price movement of,a8,2026-09-03T14:45:00Z,10:30
LOFD,6.635,-0.1292,a8_leveraged_inverse_etf,check=i_industry;industry=Investment Trusts Or Mutual Funds;description=2x inverse daily exposure,a8,2026-09-03T14:45:00Z,10:30
AEHG,5.55,-0.1063,a8_leveraged_inverse_etf,check=i_and_ii;industry=Investment Trusts Or Mutual Funds;description=2x leveraged exposure daily price movement of,a8,2026-09-03T14:45:00Z,10:30
