symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
JUNS,3.10,-0.24880382775119608,a3_prior_spike,peak_to_baseline=2.224;volume_spike=801.48,,2026-08-31T13:41:00Z,9:30
WHLR,0.8132,-0.2462616822429907,a6_reverse_split_proxy,split_ratio_proxy=22936.05,a6,2026-08-31T13:41:00Z,9:30
DAIC,3.59,-0.20711206896551723,a3_prior_spike,peak_to_baseline=8.491;volume_spike=2868.09,,2026-08-31T13:41:00Z,9:30
BTAI,0.1536,-0.17309812568908495,a2_atr_guardrail,atr14_pct=0.9775;atr3_pct=1.4989,,2026-08-31T13:41:00Z,9:30
AEMD,2.0606,-0.16465863453815266,a6_reverse_split_proxy,split_ratio_proxy=50.95,a6,2026-08-31T13:41:00Z,9:30
LX,1.02,-0.1595762711864406,a4_earnings_recency,days_since_earnings=0,,2026-08-31T13:41:00Z,9:30
RNAZ,1.90,-0.15591743119266058,a7_thin_liquidity_stale_quote,ask_gap_pct=0.0316;last_real_price=1.90;reason=gap_exceeded,,2026-08-31T13:41:00Z,9:30
CRE,3.3341,-0.14728900255754482,a1_spread_guardrail,spread_pct=0.1020,,2026-08-31T13:41:00Z,9:30
CHAI,0.3446,-0.1427500000000001,a3_prior_spike,peak_to_baseline=1.581;volume_spike=439.22,,2026-08-31T13:41:00Z,9:30
TENX,1.885,-0.13615023474178395,a3_prior_spike,peak_to_baseline=2.601;volume_spike=1.96,,2026-08-31T13:41:00Z,9:30
DUO,0.8501,-0.13215996667360966,a3_prior_spike,peak_to_baseline=1.823;volume_spike=3471.58,,2026-08-31T13:41:00Z,9:30
MEDS,0.8681,-0.12429731417863842,a3_prior_spike,peak_to_baseline=1.673;volume_spike=7.14,,2026-08-31T13:41:00Z,9:30
AFRU,9.64,-0.11446428571428573,a3_prior_spike,peak_to_baseline=1.366;volume_spike=73.54,,2026-08-31T13:41:00Z,9:30
ZTEK,0.4945,-0.11296296296296306,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-08-31T13:41:00Z,9:30
CELU,1.395,-0.10759493670886085,a3_prior_spike,peak_to_baseline=3.665;volume_spike=8978.11,,2026-08-31T13:41:00Z,9:30
VNRX,0.3988,-0.10438459826396616,a5_compliance_guardrail,financial_status_indicator=CB4;financial_status_description=Noncompliant,a5;a6,2026-08-31T13:41:00Z,9:30
XLAB,4.4122,-0.10206225680933843,a3_prior_spike,peak_to_baseline=1.527;volume_spike=26.96,,2026-08-31T13:41:00Z,9:30
LGCL,0.036,-0.10025706940874021,a1_spread_guardrail,spread_pct=0.0889,,2026-08-31T13:41:00Z,9:30
