symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
AARD,under120,2026-09-09T14:37:00Z,morning,5.035,-0.05534709193245777,False,shallow_outside,3-10,True,False,,,5.04,4.965243296921454,True,4.93,-2.085402184707059,4.9,-2.681231380337632
ABOS,under120,2026-09-09T14:37:00Z,morning,2.98,-0.05696202531645574,False,shallow_outside,1-3,True,False,,,3.005,41.946308724832,False,,,2.845,-4.530201342281872
ABVC,under120,2026-09-09T15:37:00Z,morning,1.0,-0.05660377358490571,False,shallow_outside,1-3,True,False,,,1.01,50.0,False,,,0.976,-2.400000000000002
ACHX,under120,2026-09-09T13:37:00Z,morning,29.81,-0.09273518580515569,False,other_price_or_range,10-120,False,,,,,,,,,,
ADIL,under120,2026-09-09T13:37:00Z,morning,6.295,-0.0533834586466166,False,shallow_outside,3-10,True,True,2026-09-09T13:40:00Z,5.000000000000002,,,False,,,6.01,-4.527402700555999
AEMD,under120,2026-09-09T15:37:00Z,morning,1.7,-0.06077348066298348,False,shallow_outside,1-3,True,False,,,1.7161,47.35294117647055,False,,,1.69,-0.5882352941176475
AERO,under120,2026-09-09T13:37:00Z,morning,0.5817,-0.05390020167848555,False,shallow_outside,<1,True,True,2026-09-09T13:40:00Z,5.000000000000004,,,False,,,15.75,2607.581227436823
AFRM,under120,2026-09-09T15:37:00Z,morning,68.25,-0.05313540510543838,False,other_price_or_range,10-120,False,,,,,,,,,,
AFRU,under120,2026-09-09T13:37:00Z,morning,8.9,-0.057203389830508385,False,shallow_outside,3-10,True,False,,,8.955,20.599250936329526,False,,,8.59,-3.4831460674157357
AGNT,under120,2026-09-09T14:37:00Z,morning,3.745,-0.05904522613065324,False,shallow_outside,3-10,True,False,,,3.785,53.40453938584787,False,,,3.69,-1.4686248331108187
AHCO,under120,2026-09-09T14:37:00Z,morning,5.75,-0.0710823909531503,False,shallow_outside,3-10,True,False,,,5.76,8.695652173912842,False,,,5.7,-0.8695652173913012
AIRS,under120,2026-09-09T15:37:00Z,morning,2.55,-0.05730129390018494,False,shallow_outside,1-3,True,True,2026-09-09T19:50:00Z,2.000000000000006,,,False,,,2.61,2.3529411764705905
ALEC,under120,2026-09-09T15:37:00Z,morning,2.34,-0.05263157894736856,False,shallow_outside,1-3,True,False,,,2.36,42.73504273504261,False,,,2.255,-3.6324786324786316
ALHC,under120,2026-09-09T15:37:00Z,morning,12.77,-0.05126300148588419,False,other_price_or_range,10-120,False,,,,,,,,,,
AMBR,under120,2026-09-09T13:37:00Z,morning,0.9194,-0.05962974327503326,False,shallow_outside,<1,True,True,2026-09-09T14:15:00Z,5.000000000000007,,,False,,,0.9892,7.591907765934303
AMCI,under120,2026-09-09T15:37:00Z,morning,3.775,-0.05860349127182042,False,shallow_outside,3-10,True,True,2026-09-09T16:00:00Z,5.000000000000005,,,False,,,3.2,-15.231788079470194
AMCX,under120,2026-09-09T15:37:00Z,morning,11.455,-0.05173841059602649,False,other_price_or_range,10-120,False,,,,,,,,,,
AMPU,under120,2026-09-09T13:37:00Z,morning,2.38,-0.051792828685258925,False,shallow_outside,1-3,True,False,,,2.4,42.01680672268904,False,,,2.22,-6.722689075630239
AMWL,under120,2026-09-09T15:37:00Z,morning,12.62,-0.053973013493253424,False,other_price_or_range,10-120,False,,,,,,,,,,
ANPA,under120,2026-09-09T13:37:00Z,morning,2.92,-0.11515151515151513,True,in_bracket,1-3,True,True,2026-09-09T14:30:00Z,4.9999999999999964,,,False,,,3.145,7.705479452054798
ARCT,under120,2026-09-09T14:37:00Z,morning,14.77,-0.0550223928342931,False,other_price_or_range,10-120,False,,,,,,,,,,
ARCX,under120,2026-09-09T14:37:00Z,morning,13.06,-0.05839942321557309,False,other_price_or_range,10-120,False,,,,,,,,,,
ARLO,under120,2026-09-09T15:37:00Z,morning,13.3,-0.057406094968107634,False,other_price_or_range,10-120,False,,,,,,,,,,
ARMA,under120,2026-09-09T13:37:00Z,morning,11.91,-0.05200821433688329,False,other_price_or_range,10-120,False,,,,,,,,,,
ARMP,under120,2026-09-09T14:37:00Z,morning,5.515,-0.05240549828178704,False,shallow_outside,3-10,True,False,,,5.6299,104.17044424297363,False,,,5.52,0.09066183136899172
ARRY,under120,2026-09-09T15:37:00Z,morning,4.46,-0.05106382978723409,False,shallow_outside,3-10,True,False,,,4.48,22.421524663677662,False,,,4.475,0.33632286995514976
ASBP,under120,2026-09-09T13:37:00Z,morning,8.3891,-0.0520790960451978,False,shallow_outside,3-10,True,True,2026-09-09T15:25:00Z,5.000000000000012,,,False,,,8.9041,6.138918358345957
ASPI,under120,2026-09-09T14:37:00Z,morning,3.975,-0.05805687203791462,False,shallow_outside,3-10,True,False,,,3.995,25.157232704402567,False,,,3.82,-3.899371069182396
ASTG,under120,2026-09-09T14:37:00Z,morning,8.57,-0.0715059588299025,False,shallow_outside,3-10,True,False,,,8.5719,1.1085180863472126,False,,,8.27,-3.50058343057177
ASTX,under120,2026-09-09T14:37:00Z,morning,11.49,-0.07784911717495992,False,other_price_or_range,10-120,False,,,,,,,,,,
ASTY,under120,2026-09-09T14:37:00Z,morning,6.1613,-0.08586053412462914,False,shallow_outside,3-10,True,False,,,6.3701,169.44476003440863,False,,,5.9899,-2.7818804473082017
ATHR,under120,2026-09-09T14:37:00Z,morning,3.03,-0.05015673981191227,False,shallow_outside,3-10,True,True,2026-09-09T19:55:00Z,1.9999999999999998,,,False,,,3.175,4.785478547854787
AUID,under120,2026-09-09T15:37:00Z,morning,0.3935,-0.07105760151085921,False,shallow_outside,<1,True,False,,,0.3954,24.142312579414995,False,,,0.3775,-4.0660736975857725
AVIR,under120,2026-09-09T14:37:00Z,morning,5.32,-0.06338028169014075,False,shallow_outside,3-10,True,False,,,5.37,46.99248120300743,False,,,5.27,-0.9398496240601637
AXTQ,under120,2026-09-09T13:37:00Z,morning,33.45,-0.09594594594594587,False,other_price_or_range,10-120,False,,,,,,,,,,
BANL,under120,2026-09-09T15:37:00Z,morning,6.13,-0.052550231839258096,False,shallow_outside,3-10,True,False,,,6.13,0.0,True,6.01,-1.9575856443719433,5.7,-7.014681892332784
BARK,under120,2026-09-09T14:37:00Z,morning,9.145,-0.0572164948453608,False,shallow_outside,3-10,True,False,,,9.2,30.07107709130656,False,,,8.94,-2.241662110442866
BBOT,under120,2026-09-09T14:37:00Z,morning,8.04,-0.09255079006772013,False,shallow_outside,3-10,True,False,,,8.13,55.97014925373234,False,,,6.75,-16.044776119402975
BEAM,under120,2026-09-09T15:37:00Z,morning,25.415,-0.05273947074170702,False,other_price_or_range,10-120,False,,,,,,,,,,
BEAT,under120,2026-09-09T15:37:00Z,morning,0.41905,-0.05894902313047383,False,shallow_outside,<1,True,True,2026-09-09T15:45:00Z,5.00000000000001,,,False,,,0.4202,0.274430258918993
BENF,under120,2026-09-09T14:37:00Z,morning,1.6527,-0.07927576601671302,False,shallow_outside,1-3,True,True,2026-09-09T18:50:00Z,3.0000000000000058,,,False,,,1.72,4.072124402492886
BGDE,under120,2026-09-09T14:37:00Z,morning,6.66,-0.05263157894736843,False,shallow_outside,3-10,True,False,,,6.84,135.13513513513448,False,,,6.62,-0.6006006006006012
BIVI,under120,2026-09-09T15:37:00Z,morning,1.92,-0.07246376811594199,False,shallow_outside,1-3,True,True,2026-09-09T18:30:00Z,3.000000000000005,,,False,,,1.952,1.6666666666666683
BKNG,120to500,2026-09-09T13:37:00Z,morning,171.04,-0.051358846367165936,False,other_price_or_range,120-500,False,,,,,,,,,,
BKV,under120,2026-09-09T13:37:00Z,morning,25.27,-0.055680119581464946,False,other_price_or_range,10-120,False,,,,,,,,,,
BNC,under120,2026-09-09T14:37:00Z,morning,4.89,-0.06857142857142863,False,shallow_outside,3-10,True,False,,,4.9,10.22494887525628,False,,,4.4292,-9.42331288343558
BNED,under120,2026-09-09T13:37:00Z,morning,11.56,-0.05632653061224486,False,other_price_or_range,10-120,False,,,,,,,,,,
BRCC,under120,2026-09-09T15:37:00Z,morning,8.4207,-0.052789651293588355,False,shallow_outside,3-10,True,False,,,8.54,70.83734131366684,False,,,8.44,0.2291970976284564
BRKR,under120,2026-09-09T14:37:00Z,morning,54.225,-0.07101250642453309,False,other_price_or_range,10-120,False,,,,,,,,,,
BRZE,under120,2026-09-09T13:37:00Z,morning,25.18,-0.1692510722533817,False,other_price_or_range,10-120,False,,,,,,,,,,
BRZX,under120,2026-09-09T13:37:00Z,morning,23.3349,-0.1775522072429288,False,other_price_or_range,10-120,False,,,,,,,,,,
BTBD,under120,2026-09-09T14:37:00Z,morning,1.731,-0.06432432432432432,False,shallow_outside,1-3,True,True,2026-09-09T19:20:00Z,3.0000000000000018,,,False,,,1.79,3.4084344309647565
BTCT,under120,2026-09-09T15:37:00Z,morning,1.5091,-0.1070414201183431,True,in_bracket,1-3,True,False,,,1.55,135.51123186004915,False,,,1.535,1.7162547213570876
BVC,under120,2026-09-09T15:37:00Z,morning,15.72,-0.06373398609895108,False,other_price_or_range,10-120,False,,,,,,,,,,
CABO,under120,2026-09-09T15:37:00Z,morning,21.33,-0.07381676074685205,False,other_price_or_range,10-120,False,,,,,,,,,,
CCOI,under120,2026-09-09T14:37:00Z,morning,9.155,-0.050311203319502194,False,shallow_outside,3-10,True,True,2026-09-09T17:45:00Z,4.0000000000000115,,,False,,,9.33,1.9115237575095656
CCTG,under120,2026-09-09T14:37:00Z,morning,0.5909,-0.07454972592012526,False,shallow_outside,<1,True,True,2026-09-09T19:55:00Z,1.9999999999999993,,,False,,,0.6299,6.600101540023699
CD,under120,2026-09-09T15:37:00Z,morning,3.27,-0.06837606837606831,False,shallow_outside,3-10,True,False,,,3.31,61.16207951070351,False,,,3.1,-5.1987767584097835
CDTG,under120,2026-09-09T14:37:00Z,morning,1.35,-0.07534246575342457,False,shallow_outside,1-3,True,True,2026-09-09T19:55:00Z,2.0000000000000098,,,False,,,1.36,0.7407407407407414
CDZI,under120,2026-09-09T14:37:00Z,morning,4.08,-0.05336426914153122,False,shallow_outside,3-10,True,False,,,4.09,12.25490196078407,True,3.85,-5.637254901960784,4.045,-0.8578431372549055
CHNU,under120,2026-09-09T14:37:00Z,morning,31.61,-0.06268532795635148,False,other_price_or_range,10-120,False,,,,,,,,,,
CHRN,under120,2026-09-09T15:37:00Z,morning,18.9551,-0.09994776828110148,False,other_price_or_range,10-120,False,,,,,,,,,,
CHWY,under120,2026-09-09T13:37:00Z,morning,21.28,-0.085517834121186,False,other_price_or_range,10-120,False,,,,,,,,,,
CIFC,under120,2026-09-09T14:37:00Z,morning,8.98,-0.053740779768177004,False,shallow_outside,3-10,True,False,,,8.98,0.0,True,8.015,-10.746102449888639,8.095,-9.855233853006679
CIFG,under120,2026-09-09T14:37:00Z,morning,4.85,-0.06551059730250496,False,shallow_outside,3-10,True,False,,,4.88,30.927835051546516,False,,,4.315,-11.030927835051532
CIFR,under120,2026-09-09T15:37:00Z,morning,17.215,-0.06996218260399792,False,other_price_or_range,10-120,False,,,,,,,,,,
CIFU,under120,2026-09-09T14:37:00Z,morning,11.82,-0.06708760852407258,False,other_price_or_range,10-120,False,,,,,,,,,,
CIRC,under120,2026-09-09T15:37:00Z,morning,0.5632,-0.06724080821464055,False,shallow_outside,<1,True,True,2026-09-09T19:00:00Z,3.0000000000000036,,,True,0.5502,-2.308238636363638,0.5702,1.2428977272727282
CLGN,under120,2026-09-09T15:37:00Z,morning,3.4007,-0.050083798882681566,False,shallow_outside,3-10,True,True,2026-09-09T17:50:00Z,4.000000000000001,,,False,,,3.41,0.27347310847766887
CMCSA,under120,2026-09-09T15:37:00Z,morning,24.875,-0.055260159513862456,False,other_price_or_range,10-120,False,,,,,,,,,,
CMCT,under120,2026-09-09T15:37:00Z,morning,2.8825,-0.05491803278688524,False,shallow_outside,1-3,True,False,,,3.0,203.81613183000823,False,,,2.725,-5.464006938421501
CNL,under120,2026-09-09T13:37:00Z,morning,15.38,-0.09208972845336484,False,other_price_or_range,10-120,False,,,,,,,,,,
CNSY,under120,2026-09-09T15:37:00Z,morning,2.52,-0.06666666666666672,False,shallow_outside,1-3,True,False,,,2.55,59.523809523808865,False,,,2.495,-0.9920634920634885
CNXC,under120,2026-09-09T14:37:00Z,morning,26.635,-0.05783516094800135,False,other_price_or_range,10-120,False,,,,,,,,,,
COE,under120,2026-09-09T15:37:00Z,morning,12.18,-0.07446808510638302,False,other_price_or_range,10-120,False,,,,,,,,,,
CPOP,under120,2026-09-09T15:37:00Z,morning,0.2721,-0.05455177206393326,False,shallow_outside,<1,True,True,2026-09-09T19:55:00Z,2.000000000000001,,,False,,,0.2788,2.46233002572583
CRBP,under120,2026-09-09T14:37:00Z,morning,9.84,-0.07126002831524311,False,shallow_outside,3-10,True,False,,,9.84,0.0,True,9.295,-5.538617886178861,8.85,-10.060975609756099
CRDF,under120,2026-09-09T13:37:00Z,morning,1.04,-0.05454545454545459,False,shallow_outside,1-3,True,False,,,1.07,144.23076923076985,False,,,1.055,1.4423076923076827
CRGO,under120,2026-09-09T13:37:00Z,morning,1.19,-0.06299212598425202,False,shallow_outside,1-3,True,True,2026-09-09T18:30:00Z,3.0000000000000053,,,False,,,1.19,0.0
CRMT,under120,2026-09-09T13:37:00Z,morning,1.94,-0.22088353413654627,True,in_bracket,1-3,True,False,,,2.0,154.63917525773232,False,,,1.4798,-23.72164948453608
CRMU,under120,2026-09-09T14:37:00Z,morning,2.225,-0.05016008537886861,False,shallow_outside,1-3,True,False,,,2.2491,54.15730337078579,False,,,2.21,-0.674157303370792
CRMX,under120,2026-09-09T14:37:00Z,morning,5.2351,-0.05673873873873869,False,shallow_outside,3-10,True,False,,,5.28,42.88361253844238,False,,,5.165,-1.3390384137838829
CRVS,under120,2026-09-09T15:37:00Z,morning,13.19,-0.0531227566403446,False,other_price_or_range,10-120,False,,,,,,,,,,
