timestamp_utc,symbol,side,quantity,avg_fill_price,limit_sell_price,buy_order_id,sell_order_id,last_price_at_scan,pct_change_at_scan,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,firing
2026-09-04T14:42:55Z,SGLD,buy,1,5.1599,5.42,6a9ad8ee-b962-4ede-b9a3-2ef0b7ea98d6,6a9ad8ff-3235-42c4-973d-08aec5210f13,5.15,-0.11169284467713796,0.007767,0.1542,0.5419,insufficient_history,insufficient_history,no_earnings_data,CC0,,2.748,0.0,10:30
2026-09-04T14:43:03Z,SNSC,buy,4,1.1258,1.19,6a9ad8f6-b88c-412c-8d77-31d21282e71f,6a9ad900-b727-4da8-a673-c31de09675f4,1.13,-0.10317460317460327,0.06195,0.2422,0.1519,1.132,37.0,no_reported_earnings,CB0,,4.42,0.0084,10:30
