symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
REFR,under120,2026-08-13T13:38Z,morning,0.4559,-0.05297050270045693,false,shallow_outside,<1,true,false,,,0.4693,100.70815450643775,false,,,0.4499,-1.3160780872998477
RETO,under120,2026-08-13T13:38Z,morning,0.9859,-0.11180180180180188,true,in_bracket,<1,true,true,2026-08-13T13:45:00Z,5.487371944416273,,,false,,,1.18,19.68759509077999
REZI,under120,2026-08-13T13:38Z,morning,21.25,-0.17347335667055624,false,other_price_or_range,10-120,false,,,,,,,,,,
RGTC,under120,2026-08-13T13:38Z,morning,25.66,-0.21461802154750237,false,other_price_or_range,10-120,false,,,,,,,,,,
RGTZ,under120,2026-08-13T13:38Z,morning,2.67,-0.05985915492957744,false,shallow_outside,1-3,true,true,2026-08-13T18:30:00Z,3.3707865168539275,,,false,,,2.77,3.745318352059929
RIOT,under120,2026-08-13T19:37Z,afternoon,19.205,-0.054872047244094585,false,other_price_or_range,10-120,false,,,,,,,,,,
RITR,under120,2026-08-13T13:38Z,morning,0.1267,-0.0690668626010286,false,shallow_outside,<1,true,true,2026-08-13T15:00:00Z,5.761641673243884,,,false,,,0.1262,-0.39463299131807456
RKDA,under120,2026-08-13T13:38Z,morning,0.6628,-0.05314285714285716,false,shallow_outside,<1,true,true,2026-08-13T13:55:00Z,5.009052504526254,,,false,,,0.56,-15.509957754978862
RMCF,under120,2026-08-13T13:38Z,morning,1.365,-0.10197368421052633,true,in_bracket,1-3,true,true,2026-08-13T14:55:00Z,5.494505494505491,,,false,,,1.66,21.611721611721606
RPGL,under120,2026-08-13T19:37Z,afternoon,1.82,-0.06185567010309272,false,shallow_outside,1-3,false,,,,,,,,,,
RXT,under120,2026-08-13T14:53Z,morning,4.335,-0.0657327586206896,false,shallow_outside,3-10,true,false,,,4.39,99.09706546275395,false,,,4.29,-1.0380622837370226
