symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
BKIE,under120,2026-07-20T13:36:00Z,morning,33.185,10-120,false,,33.185,98.0355
BKLC,under120,2026-07-20T13:36:00Z,morning,47.802,10-120,false,,47.82,98.0722
GVH,under120,2026-07-20T13:36:00Z,morning,2.2711,1-3,false,,2.28,98.2759
LBGJ,under120,2026-07-20T13:36:00Z,morning,1.17,1-3,true,2026-07-20T13:35:00Z,,
EOSER,under120,2026-07-20T13:36:00Z,morning,0.0122,<1,true,2026-07-20T14:10:00Z,,
SNEX,under120,2026-07-20T13:36:00Z,morning,70.2,10-120,false,,71.885,100.384
IREZ,under120,2026-07-20T13:36:00Z,morning,8.92,3-10,false,,9.275,101.9231
MSS,under120,2026-07-20T13:36:00Z,morning,0.4334,<1,true,2026-07-20T13:40:00Z,,
BIVI,under120,2026-07-20T13:36:00Z,morning,1.4358,1-3,false,,1.49,101.3605
DBGI,under120,2026-07-20T13:36:00Z,morning,0.5149,<1,true,2026-07-20T13:35:00Z,,
VCIG,under120,2026-07-20T13:36:00Z,morning,0.7451,<1,true,2026-07-20T14:35:00Z,,
TOP,under120,2026-07-20T13:36:00Z,morning,2.28,1-3,true,2026-07-20T13:35:00Z,,
APLZ,under120,2026-07-20T13:36:00Z,morning,29.37,10-120,true,2026-07-20T14:10:00Z,,
TGHL,under120,2026-07-20T13:36:00Z,morning,0.86,<1,false,,0.8748,99.6355
NBIZ,under120,2026-07-20T13:36:00Z,morning,10.66,10-120,true,2026-07-20T13:50:00Z,,
GLXG,under120,2026-07-20T13:36:00Z,morning,0.88,<1,true,2026-07-20T17:25:00Z,,
ZBAO,under120,2026-07-20T13:36:00Z,morning,0.189,<1,true,2026-07-20T13:35:00Z,,
STAK,under120,2026-07-20T13:36:00Z,morning,1.61,1-3,true,2026-07-20T19:40:00Z,,
QMLS,under120,2026-07-20T13:36:00Z,morning,12.04,10-120,false,,12.4001,100.8959
RUBI,under120,2026-07-20T13:36:00Z,morning,2.21,1-3,true,2026-07-20T13:45:00Z,,
LGPS,under120,2026-07-20T13:36:00Z,morning,1.1701,1-3,true,2026-07-20T13:35:00Z,,
VIVK,under120,2026-07-20T13:36:00Z,morning,1.93,1-3,false,,2.01,102.0305
