symbol,old_target,new_target,peak_price,decay_pct,reason
CBRG,,5.3,,0.05,initial_target_at_buy
COHH,,8.32,,0.05,initial_target_at_buy
BIDG,,8.12,,0.05,initial_target_at_buy
AMKL,,9.21,,0.05,initial_target_at_buy
VWAV,,1.36,,0.05,initial_target_at_buy
CIEG,,6.79,,0.05,initial_target_at_buy
ASTY,,8.03,,0.05,initial_target_at_buy
PLTD,6.77,6.78,6.47,0.05,decay_target_recompute
CRIS,3.24,3.25,3.119,0.05,decay_target_recompute
ENVX,3.96,3.96,3.77,0.05,unchanged_decay_target
RCAX,5.16,,,,take_profit_filled_position_closed
